NA,s10,s100,s1000,smax,uplift,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,h0,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB,s10000
RussianFederation2945,0.156,0.321,0.49,3.49,-1,177,86,113,116,128,119.666666667,119.666666667,119.666666667,88.5,88.5,88.5,88.5,61.75,61.75,61.75,93.222,0.612,3687.6,0,0.031142821,0.720840146,0.058736205,35.192907321,0.031142821,0.169522167,48.066503062,0.984527469
RussianFederation2947,0.192,0.397,0.611,3.611,-0.98,2,3,2,1,1,1,1,1,3,3,3,3,2.75,2.75,2.75,4.669,0.542,364.12,0,0.031143065,0.720840456,0.05873683,35.192576986,0.031143065,0.169524854,48.0659254,1.232625964
RussianFederation2948,0.143,0.291,0.444,3.444,-0.996,93,33,47,42,46,43.333333333,43.333333333,43.333333333,34.5,34.5,34.5,34.5,20,20,20,77.431,0.623,3893.69,0,0.030764351,0.72079394,0.060805711,35.039786734,0.030764351,0.168209511,48.664029267,0.873286548
RussianFederation2530,0.128,0.261,0.398,3.398,-0.363,1078,15,74,35,28,50,50,50,74.75,74.75,74.75,74.75,123.25,123.25,123.25,1386.668,0,0.186,0,0.030763872,0.720793313,0.060804342,35.04046365,0.030763872,0.168205279,48.66502395,0.786181991
RussianFederation2531,0.174,0.357,0.55,3.55,-0.36,88,1,3,1,1,4,4,4,3,3,3,3,3.75,3.75,3.75,108.252,0,0.062,0,0.031100339,0.720835642,0.059707833,34.953338052,0.031100339,0.167373756,48.069417809,1.092130169
RussianFederation2524,0.127,0.259,0.394,3.394,-0.36,99,1,5,7,5,3,3,3,2,2,2,2,3.5,3.5,3.5,205.737,0,0.117,0,0.030763634,0.720793,0.060803651,35.040804004,0.030763634,0.168203156,48.66552269,0.779750031
RussianFederation2525,0.122,0.248,0.377,3.377,-0.362,260,14,37,13,18,12.333333333,12.333333333,12.333333333,25.5,25.5,25.5,25.5,48,48,48,439.545,0,0.211,0,0.031164943,0.720868586,0.058638215,35.20226645,0.031164943,0.16512118,48.83107505,0.74177452
RussianFederation2526,0.129,0.263,0.4,3.4,-0.37,62,64,137,72,57,39.333333333,39.333333333,39.333333333,34.75,34.75,34.75,34.75,17,17,17,94.191,0,0.211,0,0.03076295,0.720792526,0.060765456,35.049075576,0.03076295,0.168181419,48.670192961,0.791274968
RussianFederation2527,0.132,0.269,0.409,3.409,-0.37,72,15,14,11,11,13.666666667,13.666666667,13.666666667,18.25,18.25,18.25,18.25,19.25,19.25,19.25,206.431,0,62.228,0,0.03038356,0.720472515,0.055256449,35.819472036,0.03038356,0.160075429,49.31134663,0.808562143
RussianFederation2528,0.13,0.266,0.405,3.405,-0.37,5,1,1,1,1,0.333333333,0.333333333,0.333333333,0.25,0.25,0.25,0.25,0.75,0.75,0.75,20.886,0,72.665,0,0.030763155,0.720792373,0.060802281,35.041481398,0.030763155,0.168198923,48.666517581,0.806252401
RussianFederation2529,0.128,0.259,0.395,3.395,-0.37,65,5,15,4,9,7,7,7,7.75,7.75,7.75,7.75,7.5,7.5,7.5,323.997,0,0.211,0,0.046747049,1.081302405,0.058532692,35.228963644,0.046747049,0.16774807,48.91687866,0.768582474
RussianFederation11681,0.134,0.272,0.415,3.415,-0.37,18,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0,76.182,0,97.775,0,0.03114185,0.720838912,0.058733676,35.194237204,0.03114185,0.169511378,48.068820199,0.812267617
RussianFederation2550,0.137,0.278,0.423,3.423,-0.396,1092,549,111,157,133,144.666666667,144.666666667,144.666666667,242.5,242.5,242.5,242.5,90,90,90,884.203,0.155,0.635,2284.268,0.155156945,3.246852161,0.056423396,31.462045157,0.155156945,0.163812339,43.202054038,0.82891078
RussianFederation2551,0.338,0.706,1.104,4.104,-0.37,491,178,34,32,39,37.333333333,37.333333333,37.333333333,31.5,31.5,31.5,31.5,26.75,26.75,26.75,72.948,0.11,0.612,0,0.045955439,1.080742135,0.056018387,35.262932352,0.045955439,0.16072828,48.891727449,2.247642598
RussianFederation2546,0.176,0.362,0.556,3.556,-0.38,27,7,9,8,7,7,7,7,5.75,5.75,5.75,5.75,4.75,4.75,4.75,15.641,0,0.61,0,0.030762914,0.720792058,0.060801601,35.041818513,0.030762914,0.168196812,48.667014085,1.111676148
RussianFederation2547,0.181,0.373,0.575,3.575,-0.384,32,15,9,8,3,9.666666667,9.666666667,9.666666667,6,6,6,6,9,9,9,95.177,0,0.618,0,0.064537184,1.442035839,0.053498897,34.935450185,0.064537184,0.169806898,46.796672631,1.151163455
RussianFederation2548,0.137,0.279,0.425,3.425,-0.422,406,135,92,96,48,67,67,67,59.25,59.25,59.25,59.25,71.75,71.75,71.75,445.204,0.032,0.643,0,0.030763429,0.720793154,0.060766822,35.048399432,0.030763429,0.168185645,48.669199419,0.838045615
RussianFederation2549,0.138,0.283,0.431,3.431,-0.47,4,1,8,4,2,1.333333333,1.333333333,1.333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.85,0.628,605.331,0,0.235560494,2.540896413,0.060630971,15.500301006,0.235560494,0.181567844,21.130108436,0.861589835
RussianFederation2520,0.125,0.254,0.386,3.386,-0.334,842,47,65,67,105,133.333333333,133.333333333,133.333333333,158.25,158.25,158.25,158.25,155.25,155.25,155.25,1440.152,0,0.032,0,0.045845927,0.723100789,0.054583941,23.121865176,0.045845927,0.172870742,31.390855629,0.759068121
RussianFederation2521,0.124,0.252,0.383,3.383,-0.34,81,18,16,8,4,5.333333333,5.333333333,5.333333333,6.5,6.5,6.5,6.5,5,5,5,149.37,0,0.098,0,0.080020435,1.444591295,0.057377721,26.502432361,0.080020435,0.168556044,36.489403141,0.753302916
RussianFederation2522,0.147,0.301,0.46,3.46,-0.348,556,134,180,152,98,98,98,98,105.25,105.25,105.25,105.25,110.75,110.75,110.75,316.697,0,0.117,0,0.043257017,0.722731933,0.051817218,24.977070275,0.043257017,0.169824595,33.691645844,0.914768111
RussianFederation2523,0.141,0.288,0.44,3.44,-0.36,375,51,29,25,29,29.666666667,29.666666667,29.666666667,28,28,28,28,25.75,25.75,25.75,206.563,0,0.117,0,0.064834383,1.084122277,0.055877447,24.510549096,0.064834383,0.170360572,33.583561474,0.870957437
RussianFederation2518,0.128,0.26,0.396,3.396,-0.34,291,35,41,163,36,44.333333333,44.333333333,44.333333333,43,43,43,43,39,39,39,422.53,0.025,1.227,0,0.043817529,0.722811111,0.052337514,24.524472284,0.043817529,0.165071893,33.607239023,0.777023507
RussianFederation2519,0.136,0.278,0.424,3.424,-0.339,193,31,37,47,117,67,67,67,67.5,67.5,67.5,67.5,73.5,73.5,73.5,424.294,0,0.035,0,0.04322456,0.722748864,0.05510719,24.552842935,0.04322456,0.170391923,33.579842915,0.84148752
RussianFederation2512,0.124,0.253,0.385,3.385,-0.34,73,43,4,3,5,2.666666667,2.666666667,2.666666667,4.5,4.5,4.5,4.5,2.5,2.5,2.5,120.956,0,1.928,0,0.043481548,0.722765335,0.053111615,24.549021854,0.043481548,0.171316252,33.266293838,0.762464344
RussianFederation2513,0.12,0.243,0.37,3.37,-0.34,25,2,3,1,1,1.333333333,1.333333333,1.333333333,0.5,0.5,0.5,0.5,0.75,0.75,0.75,69.546,0,1.684,0,0.043222922,0.722748185,0.055074305,24.557913372,0.043222922,0.170367417,33.582716875,0.721802078
RussianFederation2514,0.128,0.262,0.399,3.399,-0.34,48,3,5,4,7,4,4,4,5,5,5,5,4.25,4.25,4.25,79.562,0,0.831,0,0.064834383,1.084122277,0.055877447,24.510549096,0.064834383,0.170360572,33.583561474,0.794734254
RussianFederation2515,0.127,0.26,0.396,3.396,-0.34,31,1,4,2,35,5.666666667,5.666666667,5.666666667,3.25,3.25,3.25,3.25,5,5,5,57.031,0,0.934,0,0.043856323,0.722816941,0.051665721,24.653351153,0.043856323,0.164406906,33.697847859,0.788976027
RussianFederation2516,0.145,0.298,0.458,3.458,-0.34,55,68,78,91,21,22.666666667,22.666666667,22.666666667,11.25,11.25,11.25,11.25,9.5,9.5,9.5,122.929,0,1.346,0,0.066628655,1.084346763,0.05486943,23.988038543,0.066628655,0.170978181,32.661022326,0.913906666
RussianFederation2517,0.139,0.286,0.437,3.437,-0.34,45,20,26,17,37,20.666666667,20.666666667,20.666666667,27.25,27.25,27.25,27.25,22,22,22,120.78,0.083,1.346,0,0.032997417,0.72131646,0.05583491,32.724818801,0.032997417,0.165735105,44.505138089,0.877359359
RussianFederation2511,0.121,0.246,0.373,3.373,-0.333,118,18,25,12,13,13,13,13,13.25,13.25,13.25,13.25,12.5,12.5,12.5,239.339,0.149,1.639,0,0.032997417,0.72131646,0.05583491,32.724818801,0.032997417,0.165735105,44.505138089,0.73533911
RussianFederation2508,0.125,0.255,0.388,3.388,-0.333,560,280,139,100,94,90.333333333,90.333333333,90.333333333,72.25,72.25,72.25,72.25,60.25,60.25,60.25,928.726,0.126,3.822,802.856,0.03167527,0.720939424,0.060414843,34.078179123,0.03167527,0.168974485,47.145372772,0.768226146
RussianFederation2509,0.128,0.261,0.398,3.398,-0.34,189,19,13,11,18,7,7,7,8.5,8.5,8.5,8.5,7.25,7.25,7.25,118.909,0.14,7.069,0,0.031715891,0.720942954,0.058778823,34.598188791,0.031715891,0.170211967,47.038211699,0.786181388
RussianFederation2510,0.123,0.25,0.38,3.38,-0.34,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.578,0,232.396,0,0.031715891,0.720942954,0.058778823,34.598188791,0.031715891,0.170211967,47.038211699,0.747538393
RussianFederation11423,0.133,0.271,0.414,3.414,-0.332,93,1,3,1,3,1.666666667,1.666666667,1.666666667,0.25,0.25,0.25,0.25,1.75,1.75,1.75,140.217,0,0.035,0,0.031757655,0.720946476,0.05782521,34.832830085,0.031757655,0.169331207,47.203785589,0.815654199
RussianFederation11434,0.129,0.263,0.4,3.4,-0.34,203,2,1,1,2,3,3,3,4.5,4.5,4.5,4.5,6.5,6.5,6.5,286.093,0,0.035,1719.912,0.21796411,1.464873369,0.061320474,9.359093524,0.21796411,0.190108417,12.694609924,0.79127467
RussianFederation11432,0.203,0.423,0.657,3.657,-0.334,26,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0.75,0.75,0.75,48.799,0,0.035,0,0.033294547,0.721358084,0.056193669,32.369008146,0.033294547,0.16592656,44.080318372,1.337394645
RussianFederation11435,0.176,0.365,0.564,3.564,-0.337,27,1,1,1,1,0.333333333,0.333333333,0.333333333,0.25,0.25,0.25,0.25,0,0,0,63.644,0,0.035,0,0.032056898,0.720988243,0.052335513,35.489351873,0.032056898,0.170408643,46.546818748,1.141392055
RussianFederation631,0.139,0.284,0.434,3.434,-0.09,80,8,7,3,1,3.333333333,3.333333333,3.333333333,7.75,7.75,7.75,7.75,12,12,12,138.42,0.341,37.435,0,0.078818318,1.444377398,0.055034944,27.174239628,0.078818318,0.1683464,37.090947927,0.859436345
RussianFederation632,0.135,0.275,0.419,3.419,-0.09,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.601,0,0,0,0.032054334,0.720985857,0.052304876,35.497699482,0.032054334,0.170379483,46.553094363,0.826519048
RussianFederation633,0.132,0.268,0.408,3.408,-0.09,1,1,1,1,1,0,0,0,0,0,0,0,0.5,0.5,0.5,5.099,0,1087.71,0,0.031555212,0.721088439,0.055495464,34.441482622,0.031555212,0.163935596,46.940241227,0.800083904
RussianFederation634,0.132,0.268,0.408,3.408,-0.09,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.397,0,1142.98,0,0.03167527,0.720939424,0.060414843,34.078179123,0.03167527,0.168974485,47.145372772,0.80008344
RussianFederation635,0.134,0.273,0.417,3.417,-0.09,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.702,0,60.579,0,0.364699705,5.784666323,0.058941564,23.146831784,0.364699705,0.173659173,31.74976408,0.821417455
RussianFederation636,0.137,0.28,0.428,3.428,-0.09,2,1,2,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,1,1,1,6.141,0.418,1484.56,0,0.032447935,0.721240296,0.05508454,33.532829844,0.032447935,0.164533819,45.527899941,0.847915813
RussianFederation637,0.131,0.267,0.407,3.407,-0.09,1,1,2,1,1,0.666666667,0.666666667,0.666666667,4.25,4.25,4.25,4.25,6.5,6.5,6.5,0.768,0.219,919.34,0,0.053882422,1.082584447,0.051848024,30.690148337,0.053882422,0.166741843,40.773736961,0.803468581
RussianFederation638,0.127,0.258,0.392,3.392,1.91,110,24,48,44,44,34.666666667,34.666666667,34.666666667,33.75,33.75,33.75,33.75,50,50,50,32.994,0.25,105.036,0,0.032073815,0.721009241,0.057852371,34.476668216,0.032073815,0.170252094,46.881928693,0.770597557
RussianFederation639,0.12,0.244,0.37,3.37,1.91,1,1,1,3,5,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,2.447,0.194,103.928,0,0.031232795,0.720609355,0.055931853,34.564842205,0.031232795,0.161400636,47.651182075,0.72957527
RussianFederation640,0.13,0.264,0.402,3.402,1.91,56,53,53,191,243,232.333333333,232.333333333,232.333333333,241.25,241.25,241.25,241.25,250.5,250.5,250.5,26.635,0.419,129.311,0,0.03202849,0.721002129,0.058762219,34.255571584,0.03202849,0.17108487,46.727573268,0.788553705
RussianFederation641,0.273,0.573,0.893,3.893,-0.09,1,1,1,1,1,0,0,0,0,0,0,0,0.25,0.25,0.25,2.416,0,31.724,0,0.03123101,0.72060773,0.055894845,34.573877863,0.03123101,0.16137308,47.657208028,1.839586033
RussianFederation642,0.161,0.332,0.51,3.51,-0.09,7,16,13,15,11,13,13,13,9,9,9,9,14.75,14.75,14.75,69.413,0.359,31.431,0,0.03202849,0.721002129,0.058762219,34.255571584,0.03202849,0.17108487,46.727573268,1.024726246
RussianFederation643,0.177,0.365,0.563,3.563,-0.066,7,1,1,1,1,1,1,1,1.75,1.75,1.75,1.75,1.75,1.75,1.75,38.529,0.282,27.586,0,0.030388687,0.720455633,0.054445417,36.133664857,0.030388687,0.160050481,49.286584551,1.128161099
RussianFederation2493,0.164,0.339,0.522,3.522,-0.34,48,10,11,15,16,12.333333333,12.333333333,12.333333333,12.25,12.25,12.25,12.25,9.75,9.75,9.75,51.021,0.397,10.836,35.8,0.030641961,0.720494933,0.055358985,35.535089489,0.030641961,0.161081343,48.616739026,1.052092597
RussianFederation2494,0.164,0.338,0.521,3.521,-0.34,5,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.077,0,10.836,0,0.030641961,0.720494933,0.055358985,35.535089489,0.030641961,0.161081343,48.616739026,1.04331583
RussianFederation2495,0.164,0.338,0.521,3.521,-0.34,14,1,1,1,1,1.333333333,1.333333333,1.333333333,2.25,2.25,2.25,2.25,2,2,2,5.311,0.494,1220.75,0,0.031733984,0.720965338,0.059501745,34.284845332,0.031733984,0.166447491,47.659790965,1.043315446
RussianFederation2496,0.156,0.322,0.496,3.496,-0.34,1,1,1,1,2,0,0,0,0.5,0.5,0.5,0.5,0,0,0,1.419,0,813.044,0,0.077763294,1.802103579,0.059412253,35.024928958,0.077763294,0.168166563,48.830976387,0.996649903
RussianFederation2497,0.163,0.337,0.52,3.52,-0.34,115,53,44,42,34,97.333333333,97.333333333,97.333333333,38,38,38,38,27.75,27.75,27.75,43.88,0.305,115.983,0,0.030977338,0.72056852,0.05504798,35.136524886,0.030977338,0.160362531,48.302077008,1.047017722
RussianFederation2498,0.16,0.33,0.507,3.507,-0.34,3,1,1,1,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,1.74,0.36,218.975,0,0.03177419,0.720967369,0.058515021,34.524157619,0.03177419,0.170002429,47.369790389,1.018976019
RussianFederation2499,0.126,0.257,0.391,3.391,-0.34,12,2,1,3,1,0.666666667,0.666666667,0.666666667,0.5,0.5,0.5,0.5,2.25,2.25,2.25,4.758,0.241,213.107,0,0.031774438,0.720967684,0.058515569,34.523850766,0.031774438,0.170005075,47.369291599,0.773988601
RussianFederation2500,0.136,0.278,0.425,3.425,-0.34,36,4,7,4,9,7,7,7,9,9,9,9,4,4,4,78.921,0.493,1436.52,0,0.030936275,0.720550367,0.043913769,37.161572606,0.030936275,0.161230023,48.132851909,0.842155742
RussianFederation2501,0.124,0.253,0.384,3.384,-0.34,9,1,1,1,1,0.666666667,0.666666667,0.666666667,0.25,0.25,0.25,0.25,0,0,0,7.083,0.253,592.591,0,0.031555427,0.721089494,0.055492323,34.4410788,0.031555427,0.163936227,46.938855981,0.761786464
RussianFederation2502,0.135,0.276,0.421,3.421,-0.34,8,3,4,7,5,45,45,45,10,10,10,10,3.5,3.5,3.5,8.262,0.363,70.161,0,0.03317841,0.721158525,0.060296992,32.522640693,0.03317841,0.171528764,44.751439391,0.835726909
RussianFederation2503,0.13,0.266,0.406,3.406,-0.34,1,1,1,1,1,1.333333333,1.333333333,1.333333333,1,1,1,1,1.25,1.25,1.25,0.43,0.085,9.536,0,0.033544329,0.721367632,0.05517555,32.223230117,0.033544329,0.166918413,43.554550476,0.806929456
RussianFederation2504,0.127,0.259,0.394,3.394,-0.34,27,15,15,11,13,16,16,16,6.25,6.25,6.25,6.25,10.25,10.25,10.25,29.473,0.211,9.537,0,0.033002029,0.721338339,0.055760647,32.717942116,0.033002029,0.165742698,44.47744247,0.779749976
RussianFederation2505,0.119,0.242,0.368,3.368,-0.34,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0.25,0.25,0.25,0.25,0,0,0,4.748,0,9883.22,0,0.033002124,0.721338698,0.055759355,32.717863131,0.033002124,0.16574268,44.477026486,0.724481682
RussianFederation2506,0.142,0.291,0.445,3.445,-0.341,35,5,9,3,2,3.333333333,3.333333333,3.333333333,5,5,5,5,2.75,2.75,2.75,45.539,0.169,9.537,0,0.033297427,0.721378867,0.055683518,32.433105303,0.033297427,0.165906196,44.057295765,0.885977578
RussianFederation2507,0.14,0.287,0.439,3.439,-0.35,91,24,12,10,6,9.333333333,9.333333333,9.333333333,6.75,6.75,6.75,6.75,5.25,5.25,5.25,68.976,0.433,733.006,241.978,0.034739263,0.721579171,0.054480706,31.293944932,0.034739263,0.167544537,41.922171601,0.874463104
RussianFederation11223,0.196,0.409,0.635,3.635,-0.34,27,2,6,8,9,4,4,4,8,8,8,8,4,4,4,48.946,0.645,1448.15,0,0.034739314,0.721579496,0.054479221,31.293896046,0.034739314,0.16754468,41.921731367,1.296591913
RussianFederation11585,0.239,0.501,0.781,3.781,-0.34,83,88,132,62,62,65,65,65,67,67,67,67,62.25,62.25,62.25,162.038,0,1.19,0,0.053811664,1.082534787,0.056649853,29.789390059,0.053811664,0.167531786,40.680172,1.604578
RussianFederation11586,0.203,0.424,0.659,3.659,-0.34,376,284,215,198,208,174.666666667,174.666666667,174.666666667,144.5,144.5,144.5,144.5,110,110,110,197.039,0,1.19,0,0.034739263,0.721579171,0.054480706,31.293944932,0.034739263,0.167544537,41.922171601,1.347066563
RussianFederation11587,0.256,0.538,0.841,3.841,-0.34,1,1,2,5,3,4,4,4,3.5,3.5,3.5,3.5,2.5,2.5,2.5,4.507,0,1.19,0,0.034739314,0.721579496,0.054479221,31.293896046,0.034739314,0.16754468,41.921731367,1.733243494
RussianFederation11588,0.135,0.275,0.42,3.42,-0.34,135,15,60,35,25,16.666666667,16.666666667,16.666666667,16.75,16.75,16.75,16.75,17.5,17.5,17.5,283.789,0.253,1.19,0,0.035073703,0.721622817,0.054380594,30.992977577,0.035073703,0.165469291,41.980544323,0.827179774
RussianFederation11589,0.316,0.669,1.051,4.051,-0.34,43,65,136,85,63,39,39,39,31.5,31.5,31.5,31.5,34,34,34,39.884,0,1.345,0,0.034739263,0.721579171,0.054480706,31.293944932,0.034739263,0.167544537,41.922171601,2.19017122
RussianFederation11590,0.194,0.403,0.625,3.625,-0.34,18,28,30,29,27,28.666666667,28.666666667,28.666666667,13.75,13.75,13.75,13.75,14.5,14.5,14.5,43.648,0,1.384,0,0.035916423,0.72169852,0.055053511,29.85356567,0.035916423,0.164032741,41.085208093,1.265861978
RussianFederation11591,0.129,0.264,0.401,3.401,-0.34,370,59,128,66,52,42.333333333,42.333333333,42.333333333,35.25,35.25,35.25,35.25,49,49,49,539.329,0.194,3.89,0,0.03507356,0.721622156,0.054383697,30.993059401,0.03507356,0.165469768,41.98129064,0.799807466
RussianFederation11596,0.175,0.362,0.559,3.559,-0.34,70,9,20,19,10,6.333333333,6.333333333,6.333333333,13.75,13.75,13.75,13.75,14.5,14.5,14.5,44.448,0.389,1.19,0,0.034739314,0.721579496,0.054479221,31.293896046,0.034739314,0.16754468,41.921731367,1.126129527
RussianFederation11597,0.279,0.589,0.922,3.922,-0.34,274,112,135,116,185,197.333333333,197.333333333,197.333333333,145.25,145.25,145.25,145.25,126.75,126.75,126.75,247.69,0.181,1.421,0,0.038860342,0.722151763,0.056986126,27.266668976,0.038860342,0.167099862,37.771303844,1.915347555
RussianFederation11598,0.182,0.378,0.585,3.585,-0.34,111,20,29,91,117,108.333333333,108.333333333,108.333333333,75.25,75.25,75.25,75.25,46.5,46.5,46.5,163.384,0.16,1.544,0,0.030977022,0.720574098,0.055052207,35.137004403,0.030977022,0.160364279,48.303507504,1.186068857
RussianFederation11599,0.138,0.284,0.433,3.433,-0.34,151,30,42,47,44,42.333333333,42.333333333,42.333333333,45.75,45.75,45.75,45.75,32.75,32.75,32.75,436.799,0.187,2.219,0,0.031146463,0.720844787,0.058745669,35.187931807,0.031146463,0.169562579,48.057827194,0.87091577
RussianFederation11707,0.149,0.306,0.468,3.468,-0.375,173,1,1,5,3,0.666666667,0.666666667,0.666666667,3,3,3,3,3.25,3.25,3.25,295.766,0,1.324,0,0.032284747,0.721037841,0.059686017,33.706404616,0.032284747,0.17159109,45.909090734,0.93558569
RussianFederation11708,0.124,0.252,0.383,3.383,-0.379,10,1,1,1,1,0,0,0,0,0,0,0,0.25,0.25,0.25,64.161,0,1.324,0,0.030347685,0.720441416,0.055398491,35.880559915,0.030347685,0.1609302,49.11067622,0.753302924
RussianFederation11711,0.182,0.376,0.579,3.579,-0.38,40,4,3,5,5,2.333333333,2.333333333,2.333333333,2.5,2.5,2.5,2.5,2,2,2,101.996,0,1.324,0,0.030680695,0.720509389,0.055088534,35.479874617,0.030680695,0.160183958,48.797119953,1.165686723
RussianFederation11592,0.131,0.267,0.407,3.407,-0.34,1,2,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.717,0,2756.33,0,0.046149044,1.08119421,0.060652747,35.0764582,0.046149044,0.166575316,49.017411487,0.803468597
RussianFederation11593,0.141,0.29,0.443,3.443,-0.34,8,1,5,1,1,1.666666667,1.666666667,1.666666667,0.25,0.25,0.25,0.25,2.5,2.5,2.5,41.831,0.262,101.858,0,0.030977022,0.720574098,0.055052207,35.137004403,0.030977022,0.160364279,48.303507504,0.888867194
RussianFederation11594,0.149,0.305,0.468,3.468,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.312,0,6.596,0,0.030974931,0.720572378,0.055019305,35.146365719,0.030974931,0.160339048,48.310496829,0.927611476
RussianFederation11595,0.159,0.329,0.505,3.505,-0.34,16,8,3,4,7,7,7,7,4.25,4.25,4.25,4.25,7.5,7.5,7.5,102.364,0.321,6.83,0,0.046890891,1.081572848,0.049317767,36.124569762,0.046890891,0.162355667,47.700718687,1.021997266
RussianFederation11600,0.155,0.32,0.492,3.492,-0.34,4,1,1,1,1,3,3,3,2,2,2,2,1,1,1,49.716,0.23,13.941,0,0.030974931,0.720572378,0.055019305,35.146365719,0.030974931,0.160339048,48.310496829,0.990229095
RussianFederation11601,0.171,0.353,0.545,3.545,-0.34,14,5,21,32,34,47,47,47,27.75,27.75,27.75,27.75,13.25,13.25,13.25,73.025,0.325,14.054,0,0.030975084,0.72057241,0.055017215,35.146119494,0.030975084,0.160338197,48.309776794,1.093665334
RussianFederation11602,0.174,0.36,0.555,3.555,-0.34,11,5,9,12,18,31.333333333,31.333333333,31.333333333,18.75,18.75,18.75,18.75,15.25,15.25,15.25,21.906,0.287,10.148,0,0.03818213,0.721313896,0.071511846,27.957965979,0.03818213,0.18798807,39.452708671,1.119712508
RussianFederation11603,0.158,0.325,0.5,3.5,-0.34,1,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0,2.938,0,199.378,0,0.032401682,0.721209886,0.056279743,33.266157716,0.032401682,0.165380855,45.403183756,0.998740199
RussianFederation11604,0.15,0.308,0.471,3.471,-0.34,556,22,41,36,40,31.666666667,31.666666667,31.666666667,31,31,31,31,28.25,28.25,28.25,349.892,0.175,8.483,0,0.033299292,0.72138048,0.055717251,32.425364392,0.033299292,0.165932071,44.052101123,0.941341189
RussianFederation11605,0.188,0.391,0.605,3.605,-0.34,1,1,1,1,1,0,0,0,0,0,0,0,0.5,0.5,0.5,4.638,0,3094.63,0,0.033299144,0.721379786,0.055719653,32.425572879,0.033299144,0.165932838,44.052813111,1.230087564
RussianFederation11606,0.167,0.345,0.531,3.531,-0.34,9,1,3,5,10,15,15,15,14.5,14.5,14.5,14.5,8,8,8,26.039,0.242,25.229,0,0.033299144,0.721379786,0.055719653,32.425572879,0.033299144,0.165932838,44.052813111,1.069334716
RussianFederation11607,0.212,0.443,0.687,3.687,-0.34,510,119,181,208,169,145.333333333,145.333333333,145.333333333,110.25,110.25,110.25,110.25,74.75,74.75,74.75,214.565,0.413,2.503,0,0.03413509,0.722193911,0.056275591,31.340411423,0.03413509,0.167223942,42.760905637,1.407643191
RussianFederation11608,0.138,0.282,0.43,3.43,-0.34,51,8,8,15,11,7.666666667,7.666666667,7.666666667,4.25,4.25,4.25,4.25,4.25,4.25,4.25,49.065,0.259,10.145,0,0.037928542,0.722022983,0.05778805,27.77272511,0.037928542,0.166470733,38.437983242,0.853007322
RussianFederation11609,0.142,0.291,0.446,3.446,-0.34,18,1,1,3,2,3.333333333,3.333333333,3.333333333,3,3,3,3,0.75,0.75,0.75,19.125,0.198,9.982,0,0.037657182,0.72193858,0.056878483,28.150674324,0.037657182,0.167773852,38.852574176,0.886645689
RussianFederation11610,0.14,0.286,0.437,3.437,-0.34,12,1,9,3,1,2.333333333,2.333333333,2.333333333,1,1,1,1,1.5,1.5,1.5,26.476,0.124,3.731,0,0.035838226,0.721691675,0.054564918,29.788975785,0.035838226,0.165594176,40.820388684,0.865196826
RussianFederation11611,0.128,0.26,0.395,3.395,-0.34,40,6,33,3,5,4,4,4,6,6,6,6,6.75,6.75,6.75,111.279,0.169,8.539,0,0.031400079,0.720878739,0.059671738,34.612276089,0.031400079,0.170667874,47.391016544,0.776362505
RussianFederation644,0.251,0.524,0.814,3.814,0.02,2,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0,4.137,0.651,746.162,0,0.031143791,0.720841382,0.058738734,35.191578368,0.031143791,0.169532956,48.064186615,1.662891886
RussianFederation645,0.173,0.357,0.549,3.549,0.02,11,7,21,29,36,27.666666667,27.666666667,27.666666667,10.5,10.5,10.5,10.5,15.75,15.75,15.75,55.118,0.358,26.242,0,0.030643496,0.720496561,0.055399801,35.525921434,0.030643496,0.161110557,48.61156833,1.10382706
RussianFederation646,0.176,0.364,0.56,3.56,0.02,6,1,1,1,1,2.333333333,2.333333333,2.333333333,1.75,1.75,1.75,1.75,5.25,5.25,5.25,31.47,0.531,621.182,0,0.032585594,0.721080775,0.054137799,34.33784682,0.032585594,0.172745796,45.260995757,1.130528011
RussianFederation647,0.166,0.342,0.525,3.525,0.021,181,23,31,64,50,43,43,43,41.25,41.25,41.25,41.25,60,60,60,157.62,0.362,21.287,0,0.033890167,0.721460331,0.055611456,31.99304354,0.033890167,0.16624979,43.236498574,1.053480732
