NA,s10,s100,s1000,smax,uplift,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,h0,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB,s10000
UnitedStates4488,0.399,0.835,1.322,4.322,0.39,54,19,62,150,29,0,0,0,0,0,0,0,0,0,0,10.712,2.225,730.777,3.865,0.40580996,5.430798087,0.05941326,19.531142147,0.40580996,0.179080765,26.537611414,2.678724282
UnitedStates4489,0.289,0.602,0.947,3.947,0.39,166,53,61,2,1,0,0,0,0,0,0,0,0,0,0,14.782,1.552,146.965,18.47,0.319783336,5.776663723,0.056804847,26.738245425,0.319783336,0.168864311,36.868850416,1.909870223
UnitedStates4490,0.285,0.593,0.932,3.932,0.39,30,9,1,1,1,0,0,0,0,0,0,0,0,0,0,3.675,1.574,228.966,3.579,0.043421124,0.722482769,0.059209438,24.241173765,0.043421124,0.163103183,34.238564511,1.876626162
UnitedStates4491,0.38,0.797,1.257,4.257,0.368,2030,859,2616,433,22,2,2,2,0.25,0.25,0.25,0.25,0,0,0,186.219,1.624,8.202,1472.9627,0.128547741,1.809243378,0.059950792,20.266084629,0.128547741,0.176331111,28.022302663,2.56491886
UnitedStates4498,0.253,0.527,0.824,3.824,0,2,5,3,7,15,11.333333333,11.333333333,11.333333333,2.25,2.25,2.25,2.25,0,0,0,0.966,1.471,699.521,0.398,0.71126281,6.911680446,0.062316599,13.679285732,0.71126281,0.185239361,18.738313554,1.668658108
UnitedStates4499,0.298,0.622,0.976,3.976,0.41,21,22,14,16,33,8.333333333,8.333333333,8.333333333,1.25,1.25,1.25,1.25,1.25,1.25,1.25,4.674,1.722,712.764,1.261,2.286093393,29.366725822,0.061044363,18.639543905,2.286093393,0.178313748,25.618154938,1.979588623
UnitedStates4500,0.356,0.745,1.174,4.174,0.41,36,31,12,17,25,11.666666667,11.666666667,11.666666667,2.25,2.25,2.25,2.25,0,0,0,9.132,2.074,1408.91,5.268,2.39584291,30.811660704,0.062427922,18.506428504,2.39584291,0.178506944,25.518812149,2.386446206
UnitedStates4501,0.372,0.78,1.23,4.23,0.41,14,9,12,18,30,23,23,23,15.25,15.25,15.25,15.25,3,3,3,13.531,2.136,656.223,2.468,0.223036114,3.257919917,0.059460651,21.273911152,0.223036114,0.176418489,28.954898465,2.50868905
UnitedStates4502,0.393,0.822,1.298,4.298,0.401,9,3,2,4,13,19.333333333,19.333333333,19.333333333,9.25,9.25,9.25,9.25,5.75,5.75,5.75,4.942,2.187,1024.8,0.298,0.438439414,4.003938921,0.059497685,12.968810488,0.438439414,0.185867366,17.650671907,2.632074761
UnitedStates4503,0.445,0.935,1.48,4.48,0.4,10,3,1,4,6,17,17,17,8.5,8.5,8.5,8.5,8.25,8.25,8.25,3.405,2.441,965.741,0.376,0.211020868,2.897364259,0.060362842,19.703532562,0.211020868,0.177701279,26.956903018,3.023074902
UnitedStates4504,0.51,1.073,1.701,4.701,0.4,13,15,5,8,10,9.333333333,9.333333333,9.333333333,15.25,15.25,15.25,15.25,2.5,2.5,2.5,6.395,2.714,1127.3,0.61,1.644677294,22.455059759,0.061313857,19.780573245,1.644677294,0.178171847,26.935641915,3.479999721
UnitedStates4505,0.352,0.737,1.162,4.162,0.4,8,1,1,4,7,12,12,12,25,25,25,25,6.5,6.5,6.5,5.018,1.99,850.04,0.431,0.151511456,2.53050865,0.059104017,24.429852537,0.151511456,0.173935431,33.328668096,2.363545954
UnitedStates4506,0.269,0.559,0.875,3.875,0.4,7,1,4,17,82,12.333333333,12.333333333,12.333333333,12.75,12.75,12.75,12.75,0.25,0.25,0.25,5.019,1.496,364.317,0.11,0.453713871,4.004237132,0.063257286,12.470665942,0.453713871,0.190905767,17.131553638,1.762373091
UnitedStates4507,0.319,0.667,1.05,4.05,0.4,50,100,132,121,229,41.666666667,41.666666667,41.666666667,20.25,20.25,20.25,20.25,0,0,0,36.808,1.746,520.521,2.559,4.106640748,55.415955331,0.060604039,19.675693863,4.106640748,0.172261747,27.13905587,2.132308128
UnitedStates4508,0.327,0.682,1.074,4.074,0.4,67,224,154,20,34,25.666666667,25.666666667,25.666666667,4,4,4,4,0,0,0,43.612,1.692,49.86,49.9495,0.373857979,4.354688109,0.061274008,16.46831765,0.373857979,0.181554513,22.731149771,2.169681514
UnitedStates4509,0.3,0.626,0.984,3.984,0.4,25,89,89,76,178,131.666666667,131.666666667,131.666666667,191.5,191.5,191.5,191.5,91.25,91.25,91.25,22.349,1.691,318.319,16.809,0.400332175,3.280203057,0.062742548,11.553536153,0.400332175,0.185648506,15.933515864,1.992332212
UnitedStates4510,0.327,0.683,1.077,4.077,0.4,1,20,24,10,33,13.666666667,13.666666667,13.666666667,0.5,0.5,0.5,0.5,0,0,0,4.69,1.715,137.048,6.01,0.165670436,1.815297527,0.058053539,15.671040499,0.165670436,0.183610841,21.242097371,2.180038406
UnitedStates4511,0.287,0.597,0.938,3.938,0,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0.115,0,33.691,0.002,4.135781727,67.248130108,0.058966407,24.143134463,4.135781727,0.173560711,33.008161687,1.888100108
UnitedStates4512,0.26,0.54,0.846,3.846,0.407,77,321,92,65,88,18,18,18,0,0,0,0,0,0,0,39.444,1.402,88.938,98.283,0.97669384,15.227077553,0.060374414,22.727552956,0.97669384,0.175866676,31.040182694,1.701102333
