segments,segid,longi,lati
Norway9165,9165,22.992,79.212
Norway9166,9166,23.292,79.189
Norway9167,9167,24.266,79.279
Norway9168,9168,22.697,79.278
Norway9169,9169,22.254,79.405
Norway9170,9170,21.417,79.394
Norway9172,9172,20.354,79.599
Norway9173,9173,20.835,79.606
Norway9174,9174,21.333,79.716
Norway9175,9175,21.646,79.708
Norway9176,9176,21.846,79.705
Norway9177,9177,21.755,79.791
Norway9178,9178,20.792,79.801
Norway9179,9179,20.583,79.796
Norway9180,9180,20.333,79.791
Norway9217,9217,25.529,76.711
Norway9190,9190,26.085,79.652
Norway9225,9225,26.658,78.772
Norway9228,9228,29.616,78.914
Norway9101,9101,19.031,74.518
Norway8453,8453,-7.993,71.18
RussianFederation9515,9515,79.175,80.807
RussianFederation9516,9516,78.974,80.844
RussianFederation9517,9517,80.269,80.942
RussianFederation9990,9990,90.515,81.073
RussianFederation9991,9991,89.901,81.17
RussianFederation9992,9992,90.053,81.206
RussianFederation9993,9993,90.074,81.211
RussianFederation10004,10004,91.14,80.032
RussianFederation10005,10005,90.865,80.057
RussianFederation10031,10031,91.924,80.461
RussianFederation10033,10033,91.792,80.387
RussianFederation10035,10035,92.077,80.17
RussianFederation9510,9510,76.723,79.614
RussianFederation9525,9525,81.803,75.309
RussianFederation9526,9526,81.496,75.355
RussianFederation9527,9527,82.16,75.506
RussianFederation9530,9530,81.906,75.876
RussianFederation9531,9531,81.551,75.924
RussianFederation9532,9532,81.931,75.898
RussianFederation9537,9537,82.352,77.471
RussianFederation9538,9538,82.123,77.503
RussianFederation9539,9539,82.399,77.514
RussianFederation9549,9549,82.664,75.992
RussianFederation9961,9961,88.933,77.12
RussianFederation9962,9962,89.167,77.165
RussianFederation9963,9963,89.137,77.212
RussianFederation9964,9964,89.547,77.28
RussianFederation9965,9965,89.16,77.188
RussianFederation9966,9966,89.167,77.166
RussianFederation9995,9995,91.413,79.669
RussianFederation9996,9996,91.125,79.722
RussianFederation9997,9997,91.66,79.713
RussianFederation9998,9998,91.861,77.608
RussianFederation9999,9999,91.74,77.644
RussianFederation10000,10000,91.972,77.642
RussianFederation10001,10001,92.033,79.411
RussianFederation10002,10002,92.18,79.792
RussianFederation10003,10003,91.059,79.862
RussianFederation10037,10037,93.661,78.154
RussianFederation10038,10038,93.523,78.192
RussianFederation10039,10039,93.679,78.205
RussianFederation10179,10179,106.137,78.193
RussianFederation10180,10180,105.999,78.224
RussianFederation10181,10181,106.754,78.29
RussianFederation10188,10188,106.744,78.167
RussianFederation9519,9519,79.33,74.543
RussianFederation9520,9520,79.15,74.602
RussianFederation9521,9521,79.328,74.629
RussianFederation9282,9282,47.715,80.833
RussianFederation9283,9283,47.742,80.243
RussianFederation9284,9284,46.628,80.294
RussianFederation9285,9285,50.053,80.87
RussianFederation9287,9287,49.577,80.077
RussianFederation9289,9289,49.942,80.233
RussianFederation9290,9290,50.787,81.165
RussianFederation9293,9293,50.151,79.986
RussianFederation9307,9307,53.121,80.633
RussianFederation9308,9308,52.673,80.323
RussianFederation9309,9309,54.331,80.325
RussianFederation9310,9310,54.052,80.45
RussianFederation9311,9311,53.78,80.469
RussianFederation9312,9312,53.855,80.484
RussianFederation9313,9313,53.832,80.499
RussianFederation9314,9314,54.296,80.58
RussianFederation9315,9315,54.257,81.291
RussianFederation9316,9316,54.116,81.35
RussianFederation9317,9317,54.294,81.333
RussianFederation9319,9319,54.604,80.478
RussianFederation9320,9320,55.035,80.893
RussianFederation9321,9321,54.79,80.55
RussianFederation9322,9322,54.998,80.231
RussianFederation9323,9323,54.858,80.252
RussianFederation9324,9324,55.418,80.335
RussianFederation9325,9325,55.185,80.43
RussianFederation9348,9348,54.993,81.079
RussianFederation9326,9326,55.853,80.432
RussianFederation9327,9327,55.845,80.76
RussianFederation9328,9328,56.472,81.387
RussianFederation9329,9329,56.255,80.074
RussianFederation9330,9330,55.718,80.105
RussianFederation9331,9331,56.62,80.339
RussianFederation9357,9357,57.547,81.222
RussianFederation9358,9358,57.73,80.64
RussianFederation9361,9361,56.558,81.106
RussianFederation9362,9362,57.307,80.155
RussianFederation9363,9363,56.946,80.474
RussianFederation9364,9364,59.203,80.322
RussianFederation9367,9367,57.989,81.688
RussianFederation9368,9368,57.894,81.717
RussianFederation9369,9369,59.361,81.834
RussianFederation9370,9370,57.268,81.524
RussianFederation9371,9371,58.135,81.103
RussianFederation9372,9372,58.387,81.152
RussianFederation9373,9373,58.485,81.613
RussianFederation9374,9374,58.384,80.882
RussianFederation9375,9375,58.598,80.627
RussianFederation9380,9380,58.867,81.398
RussianFederation9381,9381,59.263,80.102
RussianFederation9383,9383,59.125,81.22
RussianFederation9386,9386,59.955,80.203
RussianFederation9388,9388,60.085,81.27
RussianFederation9389,9389,59.722,81.283
RussianFederation9390,9390,60.348,81.301
RussianFederation9392,9392,60.144,80.464
RussianFederation9393,9393,59.246,80.529
RussianFederation9394,9394,59.369,80.561
RussianFederation9395,9395,59.251,80.671
RussianFederation9396,9396,59.394,80.743
RussianFederation9397,9397,59.436,80.758
RussianFederation9398,9398,59.494,80.779
RussianFederation9399,9399,59.536,80.794
RussianFederation9400,9400,61.416,80.854
RussianFederation9391,9391,60.788,81.102
RussianFederation9404,9404,61.878,81.553
RussianFederation9405,9405,61.656,81.602
RussianFederation9406,9406,62.076,81.589
RussianFederation9411,9411,63.763,80.98
RussianFederation9413,9413,64.344,80.733
RussianFederation9414,9414,62.796,81.606
RussianFederation9415,9415,62.107,81.675
RussianFederation9416,9416,63.098,81.717
RussianFederation9412,9412,65.464,80.951
RussianFederation9294,9294,51.502,79.932
RussianFederation9295,9295,51.421,79.917
RussianFederation9343,9343,65.177,76.472
RussianFederation9376,9376,58.717,75.905
RussianFederation9377,9377,59.263,75.972
RussianFederation9378,9378,58.728,75.896
RussianFederation9379,9379,58.422,79.942
RussianFederation9385,9385,60.495,76.183
RussianFederation9298,9298,53.356,71.335
RussianFederation9299,9299,51.768,71.485
RussianFederation9300,9300,53.604,70.881
RussianFederation9301,9301,55.99,73.273
RussianFederation9305,9305,52.91,71.363
RussianFederation9342,9342,55.627,73.344
RussianFederation9302,9302,55.97,70.617
RussianFederation9303,9303,57.272,70.624
RussianFederation9349,9349,56.936,70.588
RussianFederation11255,11255,135.482,75.363
RussianFederation11256,11256,135.447,75.411
RussianFederation11257,11257,135.57,75.54
RussianFederation11258,11258,135.539,75.665
RussianFederation11259,11259,136.139,75.586
RussianFederation11664,11664,148.401,76.648
RussianFederation11665,11665,149.307,76.747
RussianFederation11666,11666,148.409,76.634
RussianFederation11669,11669,147.644,74.953
RussianFederation11670,11670,146.076,75.226
RussianFederation11671,11671,146.212,75.378
RussianFederation11672,11672,146.321,75.514
RussianFederation11673,11673,149.143,75.265
RussianFederation11690,11690,152.581,76.116
RussianFederation11691,11691,152.459,76.161
RussianFederation11692,11692,152.747,76.211
RussianFederation11706,11706,156.579,77.148
RussianFederation11274,11274,135.779,74.023
RussianFederation11275,11275,135.366,74.237
RussianFederation11276,11276,135.942,74.118
RussianFederation11718,11718,160.498,70.818
RussianFederation11719,11719,160.453,70.83
RussianFederation11720,11720,160.43,70.861
RussianFederation11721,11721,160.409,70.911
RussianFederation11722,11722,160.667,70.877
RussianFederation11735,11735,161.478,70.826
RussianFederation3346,3346,-178.335,71.52
RussianFederation3347,3347,-180,67.919
RussianFederation3348,3348,-177.77,68.363
RussianFederation3349,3349,-180,67.125
RussianFederation3350,3350,-180,65.912
RussianFederation3351,3351,-179.611,66.117
RussianFederation3352,3352,-178.418,65.48
RussianFederation3353,3353,-174.848,66.748
RussianFederation3354,3354,-174.995,64.811
RussianFederation3355,3355,-174.206,66.549
RussianFederation3356,3356,-174.003,66.783
RussianFederation3357,3357,-174.058,67.097
RussianFederation3359,3359,-172.565,67.014
RussianFederation3360,3360,-171.157,66.585
RussianFederation3361,3361,-171.178,65.641
RussianFederation2567,2567,177.72,69.539
RussianFederation2565,2565,180,67.054
RussianFederation2566,2566,180,68.696
RussianFederation3358,3358,-172.896,64.352
RussianFederation3362,3362,-173.045,64.69
RussianFederation3363,3363,-172.25,64.827
RussianFederation4978,4978,-172.687,64.675
RussianFederation11965,11965,179.972,71.535
RussianFederation9264,9264,35.671,65.19
UnitedStates4981,4981,-171.641,63.724
UnitedStates4982,4982,-172.964,60.589
Canada3384,3384,-139.761,69.59
Canada3452,3452,-129.785,55.006
Canada5687,5687,-80.174,59.716
Canada5698,5698,-79.912,59.866
Canada5762,5762,-79.587,56.491
Canada5746,5746,-79.818,57.437
Canada5747,5747,-79.834,57.458
Canada5748,5748,-79.716,57.6
Canada5766,5766,-79.87,56.865
Canada5844,5844,-79.866,56.928
Canada5903,5903,-79.534,56.796
Canada5908,5908,-79.065,56.439
Canada6123,6123,-78.953,56.078
Canada6165,6165,-78.662,56.429
Canada5092,5092,-132.261,54.09
Canada5100,5100,-130.781,54.625
Canada5103,5103,-131.551,52.734
Canada5105,5105,-131.793,53.242
Canada5108,5108,-131.087,52.151
Denmark7080,7080,-64.885,76.176
Denmark7431,7431,-66.667,77.512
Denmark7533,7533,-65.094,76.075
Denmark7035,7035,-64.844,79.515
Denmark7081,7081,-64.614,76.14
Denmark7082,7082,-64.679,76.259
Denmark7083,7083,-64.409,76.243
Denmark7084,7084,-64.211,76.301
Denmark7085,7085,-63.931,76.142
Denmark7086,7086,-63.508,76.309
Denmark7087,7087,-63.124,76.35
Denmark7088,7088,-62.825,76.265
Denmark7089,7089,-62.736,76.215
Denmark7090,7090,-62.731,76.258
Denmark7091,7091,-62.604,76.262
Denmark7092,7092,-62.325,76.276
Denmark7093,7093,-61.784,76.206
Denmark7094,7094,-61.271,76.174
Denmark7095,7095,-61.01,76.16
Denmark7096,7096,-60.758,76.001
Denmark7097,7097,-60.48,76.062
Denmark7098,7098,-60.111,76.023
Denmark7099,7099,-59.881,75.932
Denmark7100,7100,-59.758,75.965
Denmark7101,7101,-59.468,75.864
Denmark7102,7102,-58.853,75.707
Denmark7103,7103,-58.178,75.524
Denmark7197,7197,-18.009,80.795
Denmark7217,7217,-19.425,80.278
Denmark8291,8291,-19.12,80.184
Denmark7193,7193,-16.672,80.371
Denmark7194,7194,-16.417,80.553
Denmark7195,7195,-16.834,80.564
Denmark7196,7196,-17.229,80.604
Denmark7207,7207,-18.017,79.807
Denmark7208,7208,-18.583,80.113
Denmark7209,7209,-19.212,80.1
Denmark7210,7210,-19.854,80.018
Denmark7211,7211,-20.119,79.949
Denmark7192,7192,-12.735,81.711
Denmark7199,7199,-19.067,77.619
Denmark7200,7200,-21.625,77.583
Denmark7201,7201,-21.503,77.626
Denmark7202,7202,-21.625,77.686
Denmark7203,7203,-21.276,78.23
Denmark7204,7204,-20.355,78.87
Denmark7205,7205,-19.082,79.204
Denmark7212,7212,-20.197,79.817
Denmark7213,7213,-20.101,79.825
Denmark7214,7214,-20.018,79.835
Denmark7215,7215,-19.96,79.826
Denmark7216,7216,-20.245,79.766
Denmark7219,7219,-20.724,77.404
Denmark7225,7225,-20.642,76.903
Denmark7226,7226,-22.727,76.712
Denmark7227,7227,-21.579,76.367
Denmark7229,7229,-21.438,75.955
Denmark7232,7232,-20.224,74.675
Denmark8248,8248,-21.193,78.012
Denmark8250,8250,-21.299,76.647
Denmark8272,8272,-20.953,76.497
Denmark8280,8280,-20.534,78.229
Denmark8282,8282,-20.349,76.419
Denmark8283,8283,-20.103,76.395
Denmark8284,8284,-20.356,76.391
Denmark8285,8285,-21.034,76.371
Denmark8286,8286,-20.44,76.366
Denmark8287,8287,-19.971,75.986
Denmark8289,8289,-20.324,77.661
Denmark8290,8290,-20.062,75.019
Denmark8293,8293,-19.981,77.583
Denmark8307,8307,-20.22,77.976
Denmark7206,7206,-19.678,79.541
Denmark7220,7220,-18.386,77.34
Denmark7221,7221,-18.214,77.238
Denmark7222,7222,-18.204,77.217
Denmark7223,7223,-18.183,77.172
Denmark7224,7224,-18.132,77.01
Denmark7228,7228,-19.669,76.118
Denmark8294,8294,-19.685,76.85
Denmark8295,8295,-19.566,78.372
Denmark8296,8296,-19.813,76.757
Denmark8297,8297,-19.608,76.717
Denmark8298,8298,-19.672,76.698
Denmark8299,8299,-19.543,78.733
Denmark8300,8300,-19.718,78.818
Denmark8301,8301,-19.569,78.87
Denmark8302,8302,-19.507,78.892
Denmark8303,8303,-19.446,78.912
Denmark8304,8304,-19.404,78.926
Denmark8305,8305,-19.258,78.794
Denmark8306,8306,-19.4,79.229
Denmark8309,8309,-19.355,78.323
Denmark8310,8310,-19.396,78.397
Denmark8311,8311,-19.361,78.414
Denmark8312,8312,-19.319,78.42
Denmark8313,8313,-19.085,78.363
Denmark8314,8314,-19.025,78.327
Denmark8315,8315,-18.953,78.174
Denmark8333,8333,-18.652,78.578
Denmark8334,8334,-18.734,78.605
Denmark8335,8335,-18.702,78.623
Denmark8336,8336,-18.681,78.63
Denmark8337,8337,-18.625,78.651
Denmark8338,8338,-18.542,78.677
Denmark8339,8339,-18.365,78.646
Denmark8340,8340,-18.649,75.919
Denmark8341,8341,-18.983,76.625
Denmark8342,8342,-18.607,75.895
Denmark8343,8343,-18.296,78.745
Denmark8344,8344,-18.32,78.828
Denmark8345,8345,-18.09,78.798
Denmark8348,8348,-17.963,79.16
Denmark8349,8349,-17.696,79.07
Denmark8350,8350,-18.034,78.993
Denmark8351,8351,-17.725,77.912
Denmark8352,8352,-18.296,75.3
Denmark7246,7246,-26.783,73.105
Denmark7258,7258,-25.943,70.288
Denmark7259,7259,-21.926,71.74
Denmark7260,7260,-27.279,71.519
Denmark8198,8198,-25.408,70.92
Denmark8199,8199,-27.384,70.889
Denmark8221,8221,-26.253,70.555
Denmark8225,8225,-25.56,71.107
Denmark8228,8228,-25.053,72.893
Denmark8229,8229,-23.907,73.242
Denmark7247,7247,-24.25,73.787
Denmark7248,7248,-23.054,73.607
Denmark7256,7256,-24.699,69.243
Denmark7257,7257,-22.679,70.084
Denmark8244,8244,-23.425,72.839
Denmark8246,8246,-24.24,72.998
Denmark8251,8251,-20.878,74.425
Denmark8327,8327,-19.049,74.64
Denmark8347,8347,-18.474,74.707
Denmark7245,7245,-39.9,65.443
Denmark7249,7249,-36.381,65.919
Denmark8190,8190,-39.748,65.37
Denmark8191,8191,-37.283,65.764
Denmark8192,8192,-37.111,65.719
Denmark8193,8193,-36.845,65.859
Denmark8194,8194,-36.56,65.958
Denmark8195,8195,-36.227,65.908
Denmark7250,7250,-31.997,68.065
Denmark7251,7251,-31.717,68.218
Denmark7252,7252,-30.056,68.169
Denmark7253,7253,-29.979,68.38
Denmark8196,8196,-31.814,68.229
Denmark8197,8197,-29.847,68.233
Denmark7254,7254,-29.342,68.289
Denmark7255,7255,-28.855,68.322
Denmark8239,8239,-23.501,69.73
Denmark7230,7230,-43.193,60.248
Denmark7231,7231,-43.396,61.101
Denmark7233,7233,-42.233,61.885
Denmark7234,7234,-42.14,61.974
Denmark7235,7235,-42.289,62.021
Denmark7236,7236,-42.508,61.94
Denmark7237,7237,-41.894,63.194
Denmark7238,7238,-40.541,64.065
Denmark7239,7239,-40.674,64.143
Denmark7240,7240,-40.938,64.152
Denmark7241,7241,-41.19,64.15
Denmark7242,7242,-41.357,64.169
Denmark7243,7243,-40.74,64.382
Denmark7244,7244,-40.729,64.721
Denmark8140,8140,-42.817,60.901
Denmark8154,8154,-41.963,62.724
Denmark8155,8155,-42.227,62.575
Denmark8156,8156,-42.085,61.873
Denmark8159,8159,-41.507,63.018
Denmark8161,8161,-41.317,64.315
Denmark8162,8162,-41.472,63.1
Denmark8163,8163,-41.438,63.209
Denmark8164,8164,-41.033,64.2
Denmark8165,8165,-40.768,64.306
Denmark8166,8166,-40.928,64.209
Denmark8167,8167,-41.849,63.479
Denmark8177,8177,-40.5,64.501
Denmark8178,8178,-40.714,64.768
Denmark8179,8179,-40.785,64.805
Denmark8180,8180,-40.865,64.9
Denmark8181,8181,-40.707,64.921
Denmark8182,8182,-40.551,64.849
Denmark8183,8183,-40.458,64.66
Denmark8184,8184,-40.288,64.542
Denmark8185,8185,-40.224,64.523
Denmark8186,8186,-40.149,64.478
Denmark8187,8187,-40.176,64.436
Denmark7104,7104,-58.129,75.203
Denmark7109,7109,-57.934,75.15
Denmark7110,7110,-58.153,75.068
Denmark7111,7111,-57.733,75.009
Denmark7112,7112,-57.325,74.913
Denmark7113,7113,-57.104,74.915
Denmark7114,7114,-56.893,74.794
Denmark7115,7115,-57.133,74.794
Denmark7116,7116,-57.154,74.752
Denmark7122,7122,-56.282,74.045
Denmark7124,7124,-55.054,72.196
Denmark7792,7792,-56.79,74.546
Denmark7803,7803,-56.907,74.609
Denmark7810,7810,-56.472,73.696
Denmark7812,7812,-56.342,73.653
Denmark7813,7813,-56.455,73.892
Denmark7910,7910,-55.853,73.255
Denmark7911,7911,-55.888,73.387
Denmark7915,7915,-55.821,72.771
Denmark7918,7918,-56.005,73.475
Denmark7919,7919,-55.74,73.361
Denmark7922,7922,-56.064,73.573
Denmark7923,7923,-55.371,73.417
Denmark7926,7926,-55.46,72.878
Denmark7927,7927,-55.608,71.924
Denmark7928,7928,-55.399,72.792
Denmark7931,7931,-55.184,72.357
Denmark7932,7932,-55.457,73.038
Denmark7933,7933,-54.96,72.677
