rcp,level,seg,costtype,time,value
rcp85_p50,protect100,1000segs,total,4,121.1557566
rcp85_p50,protect100,1000segs,wetland,5,74.69172187
rcp85_p50,protect100,1000segs,protection,5,66.18093853
rcp85_p50,protect100,1000segs,storms,5,0.128585905
rcp85_p50,protect100,1000segs,stormCapital,5,0.067502356
rcp85_p50,protect100,1000segs,stormPopulation,5,0.06108355
rcp85_p50,protect100,1000segs,total,5,141.0012463
rcp85_p50,protect100,1000segs,wetland,6,79.64958339
rcp85_p50,protect100,1000segs,protection,6,66.18093853
rcp85_p50,protect100,1000segs,storms,6,0.168990307
rcp85_p50,protect100,1000segs,stormCapital,6,0.087833262
rcp85_p50,protect100,1000segs,stormPopulation,6,0.081157045
rcp85_p50,protect100,1000segs,total,6,145.9995122
rcp85_p50,protect100,1000segs,wetland,7,84.51419344
rcp85_p50,protect100,1000segs,protection,7,66.18093853
rcp85_p50,protect100,1000segs,storms,7,0.257174568
rcp85_p50,protect100,1000segs,stormCapital,7,0.131710826
rcp85_p50,protect100,1000segs,stormPopulation,7,0.125463742
rcp85_p50,protect100,1000segs,total,7,150.9523065
rcp85_p50,protect100,1000segs,wetland,8,89.27221333
rcp85_p50,protect100,1000segs,protection,8,66.18093853
rcp85_p50,protect100,1000segs,storms,8,0.484889235
rcp85_p50,protect100,1000segs,stormCapital,8,0.24357777
rcp85_p50,protect100,1000segs,stormPopulation,8,0.241311466
rcp85_p50,protect100,1000segs,total,8,155.9380411
rcp85_p50,protect100,1000segs,wetland,9,93.9100854
rcp85_p50,protect100,1000segs,protection,9,66.18093853
rcp85_p50,protect100,1000segs,storms,9,1.112899778
rcp85_p50,protect100,1000segs,stormCapital,9,0.558578054
rcp85_p50,protect100,1000segs,stormPopulation,9,0.554321724
rcp85_p50,protect100,1000segs,total,9,161.2039237
rcp85_p50,protect100,1000segs,wetland,10,98.9526146
rcp85_p50,protect100,1000segs,protection,10,85.41686526
rcp85_p50,protect100,1000segs,storms,10,0.207906226
rcp85_p50,protect100,1000segs,stormCapital,10,0.1067934
rcp85_p50,protect100,1000segs,stormPopulation,10,0.101112825
rcp85_p50,protect100,1000segs,total,10,184.5773861
rcp85_p50,optimalfixed,1000segs,wetland,1,0.029627765
rcp85_p50,optimalfixed,1000segs,inundation,1,0.6195195
rcp85_p50,optimalfixed,1000segs,relocation,1,0.037303938
rcp85_p50,optimalfixed,1000segs,protection,1,0.298157756
rcp85_p50,optimalfixed,1000segs,storms,1,0.058423462
rcp85_p50,optimalfixed,1000segs,stormCapital,1,0.032193006
rcp85_p50,optimalfixed,1000segs,stormPopulation,1,0.026230456
rcp85_p50,optimalfixed,1000segs,total,1,1.04303242
rcp85_p50,optimalfixed,1000segs,wetland,2,0.086458197
rcp85_p50,optimalfixed,1000segs,inundation,2,0.949127659
rcp85_p50,optimalfixed,1000segs,relocation,2,0.04107664
rcp85_p50,optimalfixed,1000segs,protection,2,0.298157756
rcp85_p50,optimalfixed,1000segs,storms,2,0.04545701
rcp85_p50,optimalfixed,1000segs,stormCapital,2,0.024865723
rcp85_p50,optimalfixed,1000segs,stormPopulation,2,0.020591287
rcp85_p50,optimalfixed,1000segs,total,2,1.420277261
rcp85_p50,optimalfixed,1000segs,wetland,3,0.212952122
rcp85_p50,optimalfixed,1000segs,inundation,3,1.405357212
rcp85_p50,optimalfixed,1000segs,relocation,3,0.047687987
rcp85_p50,optimalfixed,1000segs,protection,3,0.298157756
rcp85_p50,optimalfixed,1000segs,storms,3,0.063943404
rcp85_p50,optimalfixed,1000segs,stormCapital,3,0.03497514
rcp85_p50,optimalfixed,1000segs,stormPopulation,3,0.028968264
rcp85_p50,optimalfixed,1000segs,total,3,2.02809848
rcp85_p50,optimalfixed,1000segs,wetland,4,0.488880952
rcp85_p50,optimalfixed,1000segs,inundation,4,2.029662431
rcp85_p50,optimalfixed,1000segs,relocation,4,0.057632443
rcp85_p50,optimalfixed,1000segs,protection,4,0.298157756
rcp85_p50,optimalfixed,1000segs,storms,4,0.118107104
rcp85_p50,optimalfixed,1000segs,stormCapital,4,0.064488799
rcp85_p50,optimalfixed,1000segs,stormPopulation,4,0.053618304
rcp85_p50,optimalfixed,1000segs,total,4,2.992440686
rcp85_p50,optimalfixed,1000segs,wetland,5,0.793343754
rcp85_p50,optimalfixed,1000segs,inundation,5,3.145956121
rcp85_p50,optimalfixed,1000segs,relocation,5,0.105093612
rcp85_p50,optimalfixed,1000segs,protection,5,0.537604488
rcp85_p50,optimalfixed,1000segs,storms,5,0.052925798
rcp85_p50,optimalfixed,1000segs,stormCapital,5,0.028918447
rcp85_p50,optimalfixed,1000segs,stormPopulation,5,0.024007351
rcp85_p50,optimalfixed,1000segs,total,5,4.634923772
rcp85_p50,optimalfixed,1000segs,wetland,6,1.425829884
rcp85_p50,optimalfixed,1000segs,inundation,6,3.956944773
rcp85_p50,optimalfixed,1000segs,relocation,6,0.116620582
rcp85_p50,optimalfixed,1000segs,protection,6,0.537604488
rcp85_p50,optimalfixed,1000segs,storms,6,0.060898008
rcp85_p50,optimalfixed,1000segs,stormCapital,6,0.033296987
rcp85_p50,optimalfixed,1000segs,stormPopulation,6,0.027601021
rcp85_p50,optimalfixed,1000segs,total,6,6.097897735
rcp85_p50,optimalfixed,1000segs,wetland,7,2.161374823
rcp85_p50,optimalfixed,1000segs,inundation,7,4.882644957
rcp85_p50,optimalfixed,1000segs,relocation,7,0.126145003
rcp85_p50,optimalfixed,1000segs,protection,7,0.537604488
rcp85_p50,optimalfixed,1000segs,storms,7,0.071585374
rcp85_p50,optimalfixed,1000segs,stormCapital,7,0.039159378
rcp85_p50,optimalfixed,1000segs,stormPopulation,7,0.032425996
rcp85_p50,optimalfixed,1000segs,total,7,7.779354644
rcp85_p50,optimalfixed,1000segs,wetland,8,2.57207285
rcp85_p50,optimalfixed,1000segs,inundation,8,5.817994636
rcp85_p50,optimalfixed,1000segs,relocation,8,0.128068637
rcp85_p50,optimalfixed,1000segs,protection,8,0.537604488
rcp85_p50,optimalfixed,1000segs,storms,8,0.093617731
rcp85_p50,optimalfixed,1000segs,stormCapital,8,0.051118517
rcp85_p50,optimalfixed,1000segs,stormPopulation,8,0.042499214
rcp85_p50,optimalfixed,1000segs,total,8,9.149358341
rcp85_p50,optimalfixed,1000segs,wetland,9,2.340281385
rcp85_p50,optimalfixed,1000segs,inundation,9,6.543874514
rcp85_p50,optimalfixed,1000segs,relocation,9,0.108960731
rcp85_p50,optimalfixed,1000segs,protection,9,0.537604488
rcp85_p50,optimalfixed,1000segs,storms,9,0.173593346
rcp85_p50,optimalfixed,1000segs,stormCapital,9,0.094365282
