MODEL,SCENARIO,REGION,VARIABLE,UNIT,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
IIASA-WiC POP,SSP3_v9_130115,DOM,Population,million,,,,,,,,,,,,,9.92732,10.60070032,11.33332231,12.10029436,12.86753244,13.59671297,14.3081743,15.01000972,15.69948835,16.35485589,16.96895895,17.55847387,18.1300251,18.68251276,19.21514544,19.73408979,20.24829128,20.76466613,21.28625816,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,DZA,Population,million,,,,,,,,,,,,,35.468208,38.28398583,41.26000521,44.15671596,46.82842861,49.23812353,51.5696999,53.8812287,56.11421236,58.09666718,59.78133616,61.25114471,62.66269541,64.17324287,65.83994279,67.61856174,69.43992494,71.25299682,73.06387706,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,ECU,Population,million,,,,,,,,,,,,,14.464739,15.58367296,16.81202873,18.07906779,19.34407493,20.56193666,21.7524736,22.92120767,24.06299295,25.15108465,26.19002272,27.20472121,28.20511475,29.1997304,30.19116533,31.1798742,32.16727809,33.15269259,34.13383569,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,EGY,Population,million,,,,,,,,,,,,,81.121077,88.51589675,96.21620912,103.9658863,111.6578686,119.1639525,126.5790363,133.9748592,141.263641,148.270887,154.8581185,161.0661737,166.9381571,172.5606819,178.0143711,183.2936815,188.3729663,193.2069252,197.7683256,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,ERI,Population,million,,,,,,,,,,,,,5.253676,6.043540734,6.849700699,7.667627322,8.526038505,9.403658195,10.28961727,11.15833049,12.00267288,12.81729638,13.60043274,14.36519751,15.10067371,15.78471699,16.43353072,17.03063786,17.58473886,18.0938247,18.56252883,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,ESP,Population,million,,,,,,,,,,,,,46.076989,47.37208332,47.69662988,47.53813254,47.15788154,46.71448578,46.17389648,45.39245991,44.26051944,42.79817669,41.10790836,39.2820638,37.44114778,35.68266198,34.05650759,32.53746095,31.09474077,29.6526723,28.17343144,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,EST,Population,million,,,,,,,,,,,,,1.34114,1.328361866,1.307527728,1.278749505,1.241943608,1.203744672,1.16703182,1.1303663,1.091699764,1.050018398,1.005787924,0.959564557,0.913115051,0.867750955,0.824128526,0.782225638,0.741520071,0.701124704,0.660767115,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,ETH,Population,million,,,,,,,,,,,,,82.94953974,93.1521404,104.8139551,117.547414,130.9898038,144.2187245,157.430008,170.9237944,184.8702024,198.5494192,211.6644971,223.8488614,235.3224947,246.4066774,256.8797124,266.7852214,276.0045319,284.5815384,292.7145743,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,FIN,Population,million,,,,,,,,,,,,,5.364545106,5.455379201,5.508378548,5.519673879,5.491076934,5.434133624,5.356196995,5.265823153,5.168161095,5.068164446,4.964084192,4.852223112,4.731659735,4.601593548,4.46107477,4.312942952,4.1587941,3.999691698,3.836867553,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,FJI,Population,million,,,,,,,,,,,,,0.860623,0.896286237,0.933563417,0.972658842,1.009400706,1.041667728,1.069874618,1.095275774,1.118972907,1.140612794,1.160519756,1.18075208,1.201420626,1.222635285,1.244357108,1.266353095,1.288554459,1.311094929,1.334200784,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,FRA,Population,million,,,,,,,,,,,,,62.78741655,64.31191503,65.4465003,66.15471216,66.5062374,66.64502134,66.5266923,66.09221445,65.3339388,64.34765454,63.19504609,61.92137539,60.56931722,59.11439727,57.52292062,55.78690318,53.93531778,52.00030895,49.98925353,,,,,,,,,,
