seg,segID
Denmark7063,7063
Denmark7064,7064
Denmark7065,7065
Denmark7066,7066
Denmark7067,7067
Denmark7068,7068
Denmark7069,7069
Denmark7070,7070
Denmark7071,7071
Denmark7072,7072
Denmark7073,7073
Denmark7074,7074
Denmark7075,7075
Denmark7076,7076
Denmark7077,7077
Denmark7078,7078
Denmark7079,7079
Denmark8541,8541
Denmark8545,8545
Denmark8546,8546
Denmark8548,8548
Denmark8551,8551
Denmark8553,8553
Iceland8269,8269
Iceland8270,8270
Iceland8271,8271
Iceland8256,8256
Iceland8267,8267
Iceland8266,8266
Iceland8268,8268
Iceland8255,8255
Iceland8257,8257
Iceland8258,8258
Iceland8259,8259
Iceland8260,8260
Iceland8265,8265
Iceland8261,8261
Iceland8262,8262
Iceland8263,8263
Iceland8264,8264
Norway8946,8946
Norway9090,9090
Norway9109,9109
Norway9183,9183
Norway9130,9130
Norway9135,9135
Norway9205,9205
Norway9184,9184
Norway9185,9185
Norway9186,9186
Norway9187,9187
Norway9188,9188
Norway9189,9189
Norway9227,9227
Norway9255,9255
Norway8935,8935
Norway8936,8936
Norway8944,8944
Norway8967,8967
Norway8968,8968
Norway8969,8969
Norway8947,8947
Norway8948,8948
Norway8949,8949
Norway8950,8950
Norway8951,8951
Norway8952,8952
Norway8953,8953
Norway8954,8954
Norway8955,8955
Norway8956,8956
Norway8957,8957
Norway8958,8958
Norway8964,8964
Norway8965,8965
Norway8966,8966
Norway8970,8970
Norway8971,8971
Norway8972,8972
Norway8973,8973
Norway8974,8974
Norway8975,8975
Norway9111,9111
Norway9171,9171
Norway9181,9181
Norway9182,9182
Norway8959,8959
Norway8960,8960
Norway8961,8961
Norway8962,8962
Norway8963,8963
Norway9115,9115
Norway9117,9117
Norway9118,9118
Norway9119,9119
Norway9120,9120
Norway9121,9121
Norway9122,9122
Norway9123,9123
Norway9124,9124
Norway9125,9125
Norway9126,9126
Norway9127,9127
Norway9146,9146
Norway9147,9147
Norway9148,9148
Norway9149,9149
Norway9150,9150
Norway9151,9151
Norway9152,9152
Norway9153,9153
Norway9154,9154
Norway9155,9155
Norway9156,9156
Norway9157,9157
Norway9158,9158
Norway9159,9159
Norway9160,9160
Norway9161,9161
Norway9162,9162
Norway9163,9163
Norway9164,9164
Norway9165,9165
Norway9166,9166
Norway9167,9167
Norway9168,9168
Norway9169,9169
Norway9170,9170
Norway9172,9172
Norway9173,9173
Norway9174,9174
Norway9175,9175
Norway9176,9176
Norway9177,9177
Norway9178,9178
Norway9179,9179
Norway9180,9180
Norway9217,9217
Norway9190,9190
Norway9225,9225
Norway9228,9228
Norway9101,9101
Norway8453,8453
RussianFederation9515,9515
RussianFederation9516,9516
RussianFederation9517,9517
RussianFederation9990,9990
RussianFederation9991,9991
RussianFederation9992,9992
RussianFederation9993,9993
RussianFederation10004,10004
RussianFederation10005,10005
RussianFederation10031,10031
RussianFederation10033,10033
RussianFederation10035,10035
RussianFederation9510,9510
RussianFederation9525,9525
RussianFederation9526,9526
RussianFederation9527,9527
RussianFederation9530,9530
RussianFederation9531,9531
RussianFederation9532,9532
RussianFederation9537,9537
RussianFederation9538,9538
RussianFederation9539,9539
RussianFederation9549,9549
RussianFederation9961,9961
RussianFederation9962,9962
RussianFederation9963,9963
RussianFederation9964,9964
RussianFederation9965,9965
RussianFederation9966,9966
RussianFederation9995,9995
RussianFederation9996,9996
RussianFederation9997,9997
RussianFederation9998,9998
RussianFederation9999,9999
RussianFederation10000,1e4
RussianFederation10001,10001
RussianFederation10002,10002
RussianFederation10003,10003
RussianFederation10037,10037
RussianFederation10038,10038
RussianFederation10039,10039
RussianFederation10179,10179
RussianFederation10180,10180
RussianFederation10181,10181
RussianFederation10188,10188
RussianFederation9519,9519
RussianFederation9520,9520
RussianFederation9521,9521
RussianFederation9282,9282
RussianFederation9283,9283
RussianFederation9284,9284
RussianFederation9285,9285
RussianFederation9287,9287
RussianFederation9289,9289
RussianFederation9290,9290
RussianFederation9293,9293
RussianFederation9307,9307
RussianFederation9308,9308
RussianFederation9309,9309
RussianFederation9310,9310
RussianFederation9311,9311
RussianFederation9312,9312
RussianFederation9313,9313
RussianFederation9314,9314
RussianFederation9315,9315
RussianFederation9316,9316
RussianFederation9317,9317
RussianFederation9319,9319
RussianFederation9320,9320
RussianFederation9321,9321
RussianFederation9322,9322
RussianFederation9323,9323
RussianFederation9324,9324
RussianFederation9325,9325
RussianFederation9348,9348
RussianFederation9326,9326
RussianFederation9327,9327
RussianFederation9328,9328
RussianFederation9329,9329
RussianFederation9330,9330
RussianFederation9331,9331
RussianFederation9357,9357
RussianFederation9358,9358
RussianFederation9361,9361
RussianFederation9362,9362
RussianFederation9363,9363
RussianFederation9364,9364
RussianFederation9367,9367
RussianFederation9368,9368
RussianFederation9369,9369
RussianFederation9370,9370
RussianFederation9371,9371
RussianFederation9372,9372
RussianFederation9373,9373
RussianFederation9374,9374
RussianFederation9375,9375
RussianFederation9380,9380
RussianFederation9381,9381
RussianFederation9383,9383
RussianFederation9386,9386
RussianFederation9388,9388
RussianFederation9389,9389
RussianFederation9390,9390
RussianFederation9392,9392
RussianFederation9393,9393
RussianFederation9394,9394
RussianFederation9395,9395
RussianFederation9396,9396
RussianFederation9397,9397
RussianFederation9398,9398
RussianFederation9399,9399
RussianFederation9400,9400
RussianFederation9391,9391
RussianFederation9404,9404
RussianFederation9405,9405
RussianFederation9406,9406
RussianFederation9411,9411
RussianFederation9413,9413
RussianFederation9414,9414
RussianFederation9415,9415
RussianFederation9416,9416
RussianFederation9412,9412
RussianFederation9294,9294
RussianFederation9295,9295
RussianFederation9343,9343
RussianFederation9376,9376
RussianFederation9377,9377
RussianFederation9378,9378
RussianFederation9379,9379
RussianFederation9385,9385
RussianFederation9298,9298
RussianFederation9299,9299
RussianFederation9300,9300
RussianFederation9301,9301
RussianFederation9305,9305
RussianFederation9342,9342
RussianFederation9302,9302
RussianFederation9303,9303
RussianFederation9349,9349
RussianFederation11255,11255
RussianFederation11256,11256
RussianFederation11257,11257
RussianFederation11258,11258
RussianFederation11259,11259
RussianFederation11664,11664
RussianFederation11665,11665
RussianFederation11666,11666
RussianFederation11669,11669
RussianFederation11670,11670
RussianFederation11671,11671
RussianFederation11672,11672
RussianFederation11673,11673
RussianFederation11690,11690
RussianFederation11691,11691
RussianFederation11692,11692
RussianFederation11706,11706
RussianFederation11274,11274
RussianFederation11275,11275
RussianFederation11276,11276
RussianFederation11718,11718
RussianFederation11719,11719
RussianFederation11720,11720
RussianFederation11721,11721
RussianFederation11722,11722
RussianFederation11735,11735
RussianFederation3346,3346
RussianFederation3347,3347
RussianFederation3348,3348
RussianFederation3349,3349
RussianFederation3350,3350
RussianFederation3351,3351
RussianFederation3352,3352
RussianFederation3353,3353
RussianFederation3354,3354
RussianFederation3355,3355
RussianFederation3356,3356
RussianFederation3357,3357
RussianFederation3359,3359
RussianFederation3360,3360
RussianFederation3361,3361
RussianFederation2567,2567
RussianFederation2565,2565
RussianFederation2566,2566
RussianFederation3358,3358
RussianFederation3362,3362
RussianFederation3363,3363
RussianFederation4978,4978
RussianFederation11965,11965
RussianFederation9264,9264
UnitedStates4981,4981
UnitedStates4982,4982
Canada3384,3384
Canada3452,3452
Canada5687,5687
Canada5698,5698
Canada5762,5762
Canada5746,5746
Canada5747,5747
Canada5748,5748
Canada5766,5766
Canada5844,5844
Canada5903,5903
Canada5908,5908
Canada6123,6123
Canada6165,6165
Canada5092,5092
Canada5100,5100
Canada5103,5103
Canada5105,5105
Canada5108,5108
Denmark7080,7080
Denmark7431,7431
Denmark7533,7533
Denmark7035,7035
Denmark7081,7081
Denmark7082,7082
Denmark7083,7083
Denmark7084,7084
Denmark7085,7085
Denmark7086,7086
Denmark7087,7087
Denmark7088,7088
Denmark7089,7089
Denmark7090,7090
Denmark7091,7091
Denmark7092,7092
Denmark7093,7093
Denmark7094,7094
Denmark7095,7095
Denmark7096,7096
Denmark7097,7097
Denmark7098,7098
Denmark7099,7099
Denmark7100,7100
Denmark7101,7101
Denmark7102,7102
Denmark7103,7103
Denmark7197,7197
Denmark7217,7217
Denmark8291,8291
Denmark7193,7193
Denmark7194,7194
Denmark7195,7195
Denmark7196,7196
Denmark7207,7207
Denmark7208,7208
Denmark7209,7209
Denmark7210,7210
Denmark7211,7211
Denmark7192,7192
Denmark7199,7199
Denmark7200,7200
Denmark7201,7201
Denmark7202,7202
Denmark7203,7203
Denmark7204,7204
Denmark7205,7205
Denmark7212,7212
Denmark7213,7213
Denmark7214,7214
Denmark7215,7215
Denmark7216,7216
Denmark7219,7219
Denmark7225,7225
Denmark7226,7226
Denmark7227,7227
Denmark7229,7229
Denmark7232,7232
Denmark8248,8248
Denmark8250,8250
Denmark8272,8272
Denmark8280,8280
Denmark8282,8282
Denmark8283,8283
Denmark8284,8284
Denmark8285,8285
Denmark8286,8286
Denmark8287,8287
Denmark8289,8289
Denmark8290,8290
Denmark8293,8293
Denmark8307,8307
Denmark7206,7206
Denmark7220,7220
Denmark7221,7221
Denmark7222,7222
Denmark7223,7223
Denmark7224,7224
Denmark7228,7228
Denmark8294,8294
Denmark8295,8295
Denmark8296,8296
Denmark8297,8297
Denmark8298,8298
Denmark8299,8299
Denmark8300,8300
Denmark8301,8301
Denmark8302,8302
Denmark8303,8303
Denmark8304,8304
Denmark8305,8305
Denmark8306,8306
Denmark8309,8309
Denmark8310,8310
Denmark8311,8311
Denmark8312,8312
Denmark8313,8313
Denmark8314,8314
Denmark8315,8315
Denmark8333,8333
Denmark8334,8334
Denmark8335,8335
Denmark8336,8336
Denmark8337,8337
Denmark8338,8338
Denmark8339,8339
Denmark8340,8340
Denmark8341,8341
Denmark8342,8342
Denmark8343,8343
Denmark8344,8344
Denmark8345,8345
Denmark8348,8348
Denmark8349,8349
Denmark8350,8350
Denmark8351,8351
Denmark8352,8352
Denmark7246,7246
Denmark7258,7258
Denmark7259,7259
Denmark7260,7260
Denmark8198,8198
Denmark8199,8199
Denmark8221,8221
Denmark8225,8225
Denmark8228,8228
Denmark8229,8229
Denmark7247,7247
Denmark7248,7248
Denmark7256,7256
Denmark7257,7257
Denmark8244,8244
Denmark8246,8246
Denmark8251,8251
Denmark8327,8327
Denmark8347,8347
Denmark7245,7245
Denmark7249,7249
Denmark8190,8190
Denmark8191,8191
Denmark8192,8192
Denmark8193,8193
Denmark8194,8194
Denmark8195,8195
Denmark7250,7250
Denmark7251,7251
Denmark7252,7252
Denmark7253,7253
Denmark8196,8196
Denmark8197,8197
Denmark7254,7254
Denmark7255,7255
Denmark8239,8239
Denmark7230,7230
Denmark7231,7231
Denmark7233,7233
Denmark7234,7234
Denmark7235,7235
Denmark7236,7236
Denmark7237,7237
Denmark7238,7238
Denmark7239,7239
Denmark7240,7240
Denmark7241,7241
Denmark7242,7242
Denmark7243,7243
Denmark7244,7244
Denmark8140,8140
Denmark8154,8154
Denmark8155,8155
Denmark8156,8156
Denmark8159,8159
Denmark8161,8161
Denmark8162,8162
Denmark8163,8163
Denmark8164,8164
Denmark8165,8165
Denmark8166,8166
Denmark8167,8167
Denmark8177,8177
Denmark8178,8178
Denmark8179,8179
Denmark8180,8180
Denmark8181,8181
Denmark8182,8182
Denmark8183,8183
Denmark8184,8184
Denmark8185,8185
Denmark8186,8186
Denmark8187,8187
Denmark7104,7104
Denmark7109,7109
Denmark7110,7110
Denmark7111,7111
Denmark7112,7112
Denmark7113,7113
Denmark7114,7114
Denmark7115,7115
Denmark7116,7116
Denmark7122,7122
Denmark7124,7124
Denmark7792,7792
Denmark7803,7803
Denmark7810,7810
Denmark7812,7812
Denmark7813,7813
Denmark7910,7910
Denmark7911,7911
Denmark7915,7915
Denmark7918,7918
Denmark7919,7919
Denmark7922,7922
Denmark7923,7923
Denmark7926,7926
Denmark7927,7927
Denmark7928,7928
Denmark7931,7931
Denmark7932,7932
Denmark7933,7933
Denmark7938,7938
Denmark7939,7939
Denmark7940,7940
Denmark7123,7123
Denmark7138,7138
Denmark7146,7146
Denmark7949,7949
Denmark7950,7950
Denmark7952,7952
Denmark7956,7956
Denmark7968,7968
Denmark7971,7971
Denmark7975,7975
Denmark7144,7144
Denmark7145,7145
Denmark7147,7147
Denmark7159,7159
Denmark7160,7160
Denmark7161,7161
Denmark7162,7162
Denmark7172,7172
Denmark7951,7951
Denmark7953,7953
Denmark7954,7954
Denmark7955,7955
Denmark7957,7957
Denmark7960,7960
Denmark7962,7962
Denmark7963,7963
Denmark7965,7965
Denmark7967,7967
Denmark7969,7969
Denmark7977,7977
Denmark7173,7173
Denmark7174,7174
Denmark7175,7175
Denmark7198,7198
Denmark7980,7980
Denmark7981,7981
Denmark7982,7982
Denmark8011,8011
Denmark8013,8013
Denmark7218,7218
Denmark8042,8042
Denmark8079,8079
Denmark8081,8081
Denmark8096,8096
Denmark8102,8102
Denmark8105,8105
Denmark8108,8108
Denmark8109,8109
Denmark8113,8113
Denmark8121,8121
Denmark8122,8122
Denmark8125,8125
Denmark8134,8134
Denmark8135,8135
Denmark8128,8128
Finland9131,9131
Finland9137,9137
Finland9138,9138
Finland9139,9139
Finland9141,9141
Ireland8515,8515
Ireland8496,8496
Ireland8494,8494
Ireland8495,8495
Ireland8493,8493
Ireland8516,8516
Ireland8517,8517
Ireland8518,8518
Ireland8519,8519
Ireland8520,8520
Ireland8521,8521
Ireland8522,8522
Ireland8523,8523
Ireland8524,8524
Ireland8525,8525
Ireland8526,8526
Ireland8489,8489
Ireland8491,8491
Ireland8527,8527
Ireland8488,8488
Ireland8490,8490
Ireland8492,8492
Ireland8497,8497
Ireland8498,8498
RussianFederation11813,11813
RussianFederation11824,11824
Sweden9108,9108
Sweden9129,9129
UnitedKingdom8819,8819
UnitedKingdom8820,8820
UnitedKingdom8824,8824
UnitedKingdom8544,8544
UnitedStates3383,3383
UnitedStates3451,3451
UnitedStates3371,3371
UnitedStates3376,3376
UnitedStates3378,3378
UnitedStates3381,3381
UnitedStates3382,3382
UnitedStates3364,3364
UnitedStates3365,3365
UnitedStates3366,3366
UnitedStates3367,3367
UnitedStates3374,3374
UnitedStates3375,3375
UnitedStates3377,3377
UnitedStates3379,3379
UnitedStates4979,4979
UnitedStates4980,4980
UnitedStates3368,3368
UnitedStates3369,3369
UnitedStates3370,3370
UnitedStates3372,3372
UnitedStates3373,3373
UnitedStates3380,3380
UnitedStates3391,3391
UnitedStates3392,3392
UnitedStates3393,3393
UnitedStates3395,3395
UnitedStates4984,4984
UnitedStates3385,3385
UnitedStates3387,3387
UnitedStates3390,3390
UnitedStates3397,3397
UnitedStates3398,3398
UnitedStates3399,3399
UnitedStates4983,4983
UnitedStates3410,3410
UnitedStates3420,3420
UnitedStates3423,3423
UnitedStates3426,3426
UnitedStates3421,3421
UnitedStates3422,3422
UnitedStates3424,3424
UnitedStates3425,3425
UnitedStates3430,3430
UnitedStates3434,3434
UnitedStates5033,5033
UnitedStates5034,5034
UnitedStates5035,5035
UnitedStates5036,5036
UnitedStates5037,5037
UnitedStates5038,5038
UnitedStates5039,5039
UnitedStates5040,5040
UnitedStates5041,5041
UnitedStates5042,5042
UnitedStates5043,5043
UnitedStates3435,3435
UnitedStates5044,5044
UnitedStates3439,3439
UnitedStates3441,3441
UnitedStates4985,4985
UnitedStates4986,4986
UnitedStates3401,3401
UnitedStates3403,3403
UnitedStates3404,3404
UnitedStates3406,3406
UnitedStates3407,3407
UnitedStates3408,3408
UnitedStates4987,4987
UnitedStates5004,5004
UnitedStates5007,5007
UnitedStates5009,5009
UnitedStates5010,5010
UnitedStates5011,5011
UnitedStates5012,5012
UnitedStates3402,3402
UnitedStates5013,5013
UnitedStates5014,5014
UnitedStates5015,5015
UnitedStates5016,5016
UnitedStates5018,5018
UnitedStates3428,3428
UnitedStates5017,5017
UnitedStates5019,5019
UnitedStates5020,5020
UnitedStates5021,5021
UnitedStates5022,5022
UnitedStates5023,5023
UnitedStates5024,5024
UnitedStates5025,5025
UnitedStates5026,5026
UnitedStates5027,5027
UnitedStates5028,5028
UnitedStates5029,5029
UnitedStates5030,5030
UnitedStates5031,5031
UnitedStates5032,5032
UnitedStates3443,3443
UnitedStates5048,5048
UnitedStates5049,5049
UnitedStates5050,5050
UnitedStates5054,5054
UnitedStates5055,5055
UnitedStates5056,5056
UnitedStates5051,5051
UnitedStates5052,5052
UnitedStates5053,5053
UnitedStates5058,5058
UnitedStates5059,5059
UnitedStates5060,5060
UnitedStates5061,5061
UnitedStates5062,5062
UnitedStates5063,5063
UnitedStates5064,5064
UnitedStates5065,5065
UnitedStates5066,5066
UnitedStates5067,5067
UnitedStates5068,5068
UnitedStates5069,5069
UnitedStates5070,5070
UnitedStates5071,5071
UnitedStates5072,5072
UnitedStates5073,5073
UnitedStates5074,5074
UnitedStates5075,5075
UnitedStates5076,5076
UnitedStates5077,5077
UnitedStates5078,5078
UnitedStates5079,5079
UnitedStates5080,5080
UnitedStates5081,5081
UnitedStates5083,5083
UnitedStates5084,5084
UnitedStates5085,5085
UnitedStates5086,5086
UnitedStates5087,5087
UnitedStates5088,5088
UnitedStates5089,5089
UnitedStates5090,5090
UnitedStates5091,5091
UnitedStates4988,4988
UnitedStates4989,4989
UnitedStates4990,4990
UnitedStates4991,4991
UnitedStates4992,4992
UnitedStates4993,4993
UnitedStates4994,4994
UnitedStates4995,4995
UnitedStates4996,4996
UnitedStates4997,4997
UnitedStates4998,4998
UnitedStates4999,4999
UnitedStates5000,5e3
UnitedStates5001,5001
UnitedStates5002,5002
UnitedStates5003,5003
UnitedStates5005,5005
UnitedStates5006,5006
UnitedStates5008,5008
UnitedStates5082,5082
UnitedStates5093,5093
UnitedStates11882,11882
UnitedStates11895,11895
UnitedStates11962,11962
UnitedStates11982,11982
UnitedStates11989,11989
UnitedStates11992,11992
Canada3389,3389
Canada3400,3400
Canada5057,5057
Canada5095,5095
Canada5094,5094
Canada5096,5096
Canada5097,5097
Canada5098,5098
Canada5099,5099
Canada5137,5137
Canada5138,5138
Canada5139,5139
Canada5140,5140
Canada5141,5141
Canada5142,5142
Canada5143,5143
Canada5144,5144
Canada5145,5145
Canada5184,5184
Canada5191,5191
Canada5192,5192
Canada5193,5193
Canada5146,5146
Canada5147,5147
Canada5148,5148
Canada5152,5152
Canada5153,5153
Canada5154,5154
Canada5155,5155
Canada5156,5156
Canada5157,5157
Canada5158,5158
Canada5274,5274
Canada3388,3388
Canada5046,5046
Canada5047,5047
Canada3394,3394
Canada3396,3396
Canada3405,3405
Canada5149,5149
Canada3805,3805
Canada3846,3846
Canada7636,7636
Canada7637,7637
Canada7638,7638
Canada3882,3882
Canada7648,7648
Canada7757,7757
Canada7759,7759
Canada7769,7769
Canada7770,7770
Canada7772,7772
Canada7775,7775
Canada7776,7776
Canada7777,7777
Canada7778,7778
Canada7780,7780
Canada7785,7785
Canada3944,3944
Canada3965,3965
Canada3967,3967
Canada3968,3968
Canada3969,3969
Canada7935,7935
Canada7944,7944
Canada7948,7948
Canada7959,7959
Canada7966,7966
Canada7943,7943
Canada7945,7945
Canada7973,7973
Canada7946,7946
Canada7947,7947
Canada7978,7978
Canada7984,7984
Canada8012,8012
Canada8015,8015
Canada4044,4044
Canada4045,4045
Canada4068,4068
Canada4069,4069
Canada3734,3734
Canada3744,3744
Canada3748,3748
Canada3749,3749
Canada3765,3765
Canada3705,3705
Canada3723,3723
Canada3725,3725
Canada3726,3726
Canada3729,3729
Canada3730,3730
Canada3733,3733
Canada3735,3735
Canada3736,3736
Canada3785,3785
Canada3720,3720
Canada3721,3721
Canada3722,3722
Canada3979,3979
Canada3974,3974
Canada3970,3970
Canada3971,3971
Canada3972,3972
Canada3987,3987
Canada3988,3988
Canada3989,3989
Canada3990,3990
Canada3991,3991
Canada3995,3995
Canada4001,4001
Canada4002,4002
Canada4003,4003
Canada4004,4004
Canada4005,4005
Canada4006,4006
Canada4007,4007
Canada4008,4008
Canada4009,4009
Canada4010,4010
Canada4011,4011
Canada4012,4012
Canada7523,7523
Canada7524,7524
Canada7525,7525
Canada3982,3982
Canada3994,3994
Canada4015,4015
Canada4016,4016
Canada4017,4017
Canada4019,4019
Canada4020,4020
Canada4021,4021
Canada4022,4022
Canada4023,4023
Canada4024,4024
Canada4025,4025
Canada4026,4026
Canada4027,4027
Canada4031,4031
Canada4035,4035
Canada4036,4036
Canada7791,7791
Canada7807,7807
Canada7808,7808
Canada7809,7809
Canada4078,4078
Canada5378,5378
Canada5379,5379
Canada5380,5380
Canada5386,5386
Canada5381,5381
Canada5382,5382
Canada5412,5412
Canada5423,5423
Canada5424,5424
Canada5425,5425
Canada5426,5426
Canada5427,5427
Canada5428,5428
Canada5429,5429
Canada5430,5430
Canada5431,5431
Canada5651,5651
Canada5449,5449
Canada5450,5450
Canada5451,5451
Canada5453,5453
Canada5432,5432
Canada5433,5433
Canada5434,5434
Canada5435,5435
Canada5447,5447
Canada7351,7351
Canada5436,5436
Canada5437,5437
Canada5438,5438
Canada5439,5439
Canada5440,5440
Canada5441,5441
Canada5442,5442
Canada5443,5443
Canada5444,5444
Canada5445,5445
Canada5446,5446
Canada5452,5452
Canada5296,5296
Canada5303,5303
Canada5304,5304
Canada5305,5305
Canada5306,5306
Canada5307,5307
Canada5308,5308
Canada5297,5297
Canada5298,5298
Canada5299,5299
Canada5300,5300
Canada5301,5301
Canada5302,5302
Canada5309,5309
Canada5310,5310
Canada5311,5311
Canada5312,5312
Canada5313,5313
Canada5314,5314
Canada5315,5315
Canada5316,5316
Canada5317,5317
Canada5319,5319
Canada5321,5321
Canada5335,5335
Canada5336,5336
Canada5337,5337
Canada5344,5344
Canada5346,5346
Canada5347,5347
Canada5348,5348
Canada5349,5349
Canada5350,5350
Canada5360,5360
Canada5361,5361
Canada5362,5362
Canada5365,5365
Canada5367,5367
Canada5368,5368
Canada5377,5377
Canada5387,5387
Canada5396,5396
Canada5406,5406
Canada5408,5408
Canada5414,5414
Canada5383,5383
Canada5400,5400
Canada5401,5401
Canada5402,5402
Canada5403,5403
Canada5404,5404
Canada5405,5405
Canada5418,5418
Canada5457,5457
Canada5461,5461
Canada5384,5384
Canada5385,5385
Canada5415,5415
Canada5448,5448
Canada5454,5454
Canada5471,5471
Canada5500,5500
Canada5505,5505
France7970,7970
France7972,7972
Ireland8503,8503
Ireland8499,8499
Ireland8500,8500
Ireland8501,8501
Ireland8502,8502
RussianFederation11668,11668
RussianFederation11686,11686
RussianFederation11695,11695
RussianFederation11700,11700
RussianFederation11701,11701
RussianFederation11704,11704
RussianFederation11663,11663
RussianFederation11667,11667
UnitedKingdom8504,8504
UnitedKingdom8547,8547
UnitedKingdom8549,8549
UnitedKingdom8552,8552
UnitedKingdom8555,8555
UnitedKingdom8560,8560
UnitedKingdom8574,8574
UnitedKingdom8576,8576
UnitedKingdom8578,8578
UnitedKingdom8579,8579
UnitedKingdom8580,8580
UnitedKingdom8581,8581
UnitedKingdom8585,8585
UnitedKingdom8587,8587
UnitedKingdom8591,8591
UnitedKingdom8594,8594
UnitedKingdom8595,8595
UnitedKingdom8788,8788
UnitedKingdom8789,8789
UnitedKingdom8588,8588
UnitedKingdom8589,8589
UnitedKingdom8590,8590
UnitedKingdom8592,8592
UnitedKingdom8593,8593
UnitedKingdom8620,8620
UnitedKingdom8627,8627
UnitedKingdom8628,8628
UnitedKingdom8629,8629
UnitedKingdom8631,8631
UnitedKingdom8632,8632
UnitedKingdom8633,8633
UnitedKingdom8634,8634
UnitedKingdom8638,8638
UnitedKingdom8639,8639
UnitedKingdom8640,8640
UnitedKingdom8641,8641
UnitedKingdom8644,8644
UnitedKingdom8645,8645
UnitedKingdom8646,8646
UnitedKingdom8647,8647
UnitedKingdom8648,8648
UnitedKingdom8649,8649
UnitedKingdom8650,8650
UnitedKingdom8651,8651
UnitedKingdom8652,8652
UnitedKingdom8653,8653
UnitedKingdom8680,8680
UnitedKingdom8681,8681
UnitedKingdom8682,8682
UnitedKingdom8683,8683
UnitedKingdom8684,8684
UnitedKingdom8685,8685
UnitedKingdom8686,8686
UnitedKingdom8687,8687
UnitedKingdom8792,8792
UnitedKingdom8794,8794
UnitedKingdom8797,8797
UnitedKingdom8804,8804
UnitedKingdom8596,8596
UnitedKingdom8597,8597
UnitedKingdom8598,8598
UnitedKingdom8599,8599
UnitedKingdom8600,8600
UnitedKingdom8505,8505
UnitedKingdom8506,8506
UnitedKingdom8507,8507
UnitedKingdom8508,8508
UnitedKingdom8509,8509
UnitedKingdom8510,8510
UnitedKingdom8511,8511
UnitedKingdom8512,8512
UnitedKingdom8513,8513
