segments,s1,s10,s100,s1000,smax
Denmark7054,0,0.1,0.2,0.3,3.3
Denmark7055,0,0.121,0.246,0.373,3.373
Denmark7056,0,0.118,0.238,0.36,3.36
Denmark7057,0,0.117,0.236,0.358,3.358
Denmark7106,0,0.122,0.247,0.375,3.375
Denmark7107,0,0.1,0.2,0.3,3.3
Denmark7108,0,0.1,0.2,0.3,3.3
Denmark7961,0,0.1,0.2,0.3,3.3
Denmark7964,0,0.1,0.2,0.3,3.3
Denmark7058,0,0.12,0.242,0.367,3.367
Denmark7105,0,0.133,0.27,0.411,3.411
Denmark7117,0,0.118,0.239,0.361,3.361
Denmark7118,0,0.186,0.383,0.591,3.591
Denmark7125,0,0.114,0.23,0.347,3.347
Denmark7126,0,0.1,0.2,0.3,3.3
Denmark7127,0,0.1,0.2,0.3,3.3
Denmark7135,0,0.1,0.2,0.3,3.3
Denmark8017,0,0.1,0.2,0.3,3.3
Denmark8018,0,0.1,0.2,0.3,3.3
Denmark8019,0,0.1,0.2,0.3,3.3
Denmark8022,0,0.1,0.2,0.3,3.3
Denmark8080,0,0.1,0.2,0.3,3.3
Denmark8101,0,0.1,0.2,0.3,3.3
Denmark7119,0,0.137,0.28,0.427,3.427
Denmark7120,0,0.122,0.247,0.375,3.375
Denmark7121,0,0.12,0.243,0.368,3.368
Denmark7128,0,0.1,0.2,0.3,3.3
Denmark7129,0,0.1,0.2,0.3,3.3
Denmark7130,0,0.121,0.246,0.372,3.372
Denmark7131,0,0.123,0.249,0.377,3.377
Denmark7132,0,0.12,0.243,0.369,3.369
Denmark7133,0,0.125,0.254,0.385,3.385
Denmark7134,0,0.109,0.219,0.33,3.33
Denmark8124,0,0.1,0.2,0.3,3.3
Denmark8136,0,0.1,0.2,0.3,3.3
Denmark8137,0,0.1,0.2,0.3,3.3
Denmark8138,0,0.1,0.2,0.3,3.3
Denmark8139,0,0.1,0.2,0.3,3.3
Denmark8160,0,0.1,0.2,0.3,3.3
Denmark8168,0,0.1,0.2,0.3,3.3
Denmark8188,0,0.1,0.2,0.3,3.3
Denmark7136,0,0.1,0.2,0.3,3.3
Denmark7137,0,0.124,0.251,0.381,3.381
Denmark7139,0,0.1,0.2,0.3,3.3
Denmark7140,0,0.1,0.2,0.3,3.3
Denmark7141,0,0.1,0.2,0.3,3.3
Denmark7143,0,0.112,0.226,0.341,3.341
Denmark7148,0,0.111,0.224,0.339,3.339
Denmark8176,0,0.1,0.2,0.3,3.3
Denmark8189,0,0.1,0.2,0.3,3.3
Denmark7150,0,0.12,0.242,0.367,3.367
Denmark7151,0,0.121,0.246,0.373,3.373
Denmark7152,0,0.125,0.254,0.385,3.385
Denmark7153,0,0.114,0.23,0.348,3.348
Denmark7154,0,0.113,0.229,0.345,3.345
Denmark7155,0,0.117,0.237,0.36,3.36
Denmark7156,0,0.11,0.222,0.335,3.335
Denmark7142,0,0.196,0.404,0.624,3.624
Denmark7157,0,0.124,0.253,0.384,3.384
Denmark7158,0,0.113,0.227,0.343,3.343
Denmark7163,0,0.118,0.24,0.364,3.364
Denmark7149,0,0.114,0.23,0.348,3.348
Denmark7164,0,0.151,0.308,0.471,3.471
Denmark7165,0,0.15,0.308,0.471,3.471
Denmark7166,0,0.122,0.248,0.376,3.376
Denmark7167,0,0.12,0.244,0.369,3.369
Denmark7168,0,0.177,0.364,0.56,3.56
Denmark7169,0,0.139,0.282,0.429,3.429
Denmark7170,0,0.125,0.253,0.384,3.384
Denmark7171,0,0.118,0.239,0.361,3.361
Denmark7176,0,0.128,0.26,0.395,3.395
Denmark7177,0,0.192,0.396,0.611,3.611
Denmark7178,0,0.154,0.314,0.48,3.48
Denmark7179,0,0.157,0.322,0.494,3.494
Denmark7180,0,0.185,0.381,0.587,3.587
Denmark7181,0,0.209,0.431,0.665,3.665
Denmark7182,0,0.136,0.276,0.421,3.421
Denmark8252,0,0.173,0.357,0.548,3.548
Denmark8253,0,0.162,0.333,0.511,3.511
Denmark8254,0,0.181,0.372,0.572,3.572
Denmark8292,0,0.264,0.55,0.854,3.854
Denmark7183,0,0.395,0.827,1.292,4.292
Denmark7184,0,0.154,0.315,0.482,3.482
Denmark7185,0,0.122,0.246,0.373,3.373
Denmark7186,0,0.124,0.25,0.379,3.379
Denmark7187,0,0.238,0.494,0.765,3.765
Denmark8316,0,0.152,0.31,0.475,3.475
Denmark8317,0,0.176,0.361,0.555,3.555
Denmark8318,0,0.144,0.293,0.448,3.448
Denmark8319,0,0.162,0.331,0.508,3.508
Denmark8320,0,0.174,0.357,0.549,3.549
Denmark8328,0,0.186,0.382,0.589,3.589
Denmark8329,0,0.369,0.771,1.204,4.204
Denmark8330,0,0.201,0.414,0.639,3.639
Denmark8331,0,0.149,0.304,0.465,3.465
Denmark8332,0,0.358,0.747,1.167,4.167
Denmark7188,0,0.13,0.263,0.399,3.399
Denmark7189,0,0.135,0.273,0.416,3.416
Denmark7190,0,0.132,0.268,0.407,3.407
Denmark7191,0,0.136,0.277,0.421,3.421
Denmark6839,0,0.111,0.224,0.338,3.338
Denmark6982,0,0.108,0.218,0.329,3.329
Denmark7033,0,0.116,0.236,0.358,3.358
Denmark7048,0,0.114,0.232,0.351,3.351
Denmark7049,0,0.116,0.235,0.357,3.357
Denmark7050,0,0.115,0.233,0.353,3.353
Denmark7052,0,0.111,0.224,0.338,3.338
Denmark7287,0,0.123,0.249,0.379,3.379
Denmark7296,0,0.124,0.25,0.38,3.38
Denmark7034,0,0.115,0.233,0.353,3.353
Denmark7036,0,0.13,0.266,0.406,3.406
Denmark7051,0,0.13,0.266,0.405,3.405
Denmark7059,0,0.119,0.241,0.365,3.365
Denmark7060,0,0.112,0.225,0.34,3.34
Denmark7061,0,0.112,0.226,0.341,3.341
Denmark7062,0,0.113,0.23,0.348,3.348
Denmark7063,0,0.111,0.224,0.338,3.338
Denmark7064,0,0.116,0.234,0.354,3.354
Denmark7065,0,0.115,0.232,0.351,3.351
Denmark7066,0,0.117,0.238,0.361,3.361
Denmark7067,0,0.114,0.23,0.349,3.349
Denmark7068,0,0.113,0.228,0.345,3.345
Denmark7069,0,0.114,0.231,0.349,3.349
Denmark7070,0,0.11,0.22,0.332,3.332
Denmark7071,0,0.113,0.227,0.344,3.344
Denmark7072,0,0.123,0.249,0.379,3.379
Denmark7073,0,0.127,0.259,0.394,3.394
Denmark7074,0,0.129,0.263,0.401,3.401
Denmark7075,0,0.165,0.341,0.525,3.525
Denmark7076,0,0.137,0.28,0.428,3.428
Denmark7077,0,0.123,0.251,0.381,3.381
Denmark7078,0,0.118,0.238,0.361,3.361
Denmark7079,0,0.123,0.251,0.382,3.382
Denmark8541,0,0.156,0.32,0.49,3.49
Denmark8545,0,0.148,0.302,0.461,3.461
Denmark8546,0,0.158,0.323,0.495,3.495
Denmark8548,0,0.16,0.328,0.503,3.503
Denmark8551,0,0.213,0.441,0.681,3.681
Denmark8553,0,0.178,0.366,0.563,3.563
Iceland8269,0,0.141,0.287,0.437,3.437
Iceland8270,0,0.129,0.263,0.4,3.4
Iceland8271,0,0.123,0.249,0.377,3.377
Iceland8256,0,0.149,0.305,0.467,3.467
Iceland8267,0,0.131,0.266,0.405,3.405
Iceland8266,0,0.215,0.446,0.69,3.69
Iceland8268,0,0.145,0.297,0.454,3.454
Iceland8255,0,0.149,0.304,0.464,3.464
Iceland8257,0,0.26,0.543,0.843,3.843
Iceland8258,0,0.231,0.479,0.742,3.742
Iceland8259,0,0.136,0.277,0.423,3.423
Iceland8260,0,0.185,0.381,0.586,3.586
Iceland8265,0,0.179,0.369,0.567,3.567
Iceland8261,0,0.247,0.515,0.8,3.8
Iceland8262,0,0.298,0.624,0.971,3.971
Iceland8263,0,0.195,0.404,0.623,3.623
Iceland8264,0,0.132,0.268,0.407,3.407
Norway8946,0,0.127,0.259,0.395,3.395
Norway9090,0,0.211,0.443,0.686,3.686
Norway9109,0,0.15,0.309,0.473,3.473
Norway9183,0,0.138,0.284,0.433,3.433
Norway9130,0,0.182,0.377,0.582,3.582
Norway9135,0,0.147,0.301,0.462,3.462
Norway9205,0,0.2,0.418,0.647,3.647
Norway9184,0,0.121,0.246,0.373,3.373
Norway9185,0,0.125,0.254,0.386,3.386
Norway9186,0,0.132,0.269,0.411,3.411
Norway9187,0,0.153,0.316,0.484,3.484
Norway9188,0,0.209,0.436,0.676,3.676
Norway9189,0,0.254,0.534,0.831,3.831
Norway9227,0,0.181,0.376,0.581,3.581
Norway9255,0,0.156,0.322,0.493,3.493
Norway8935,0,0.145,0.299,0.457,3.457
Norway8936,0,0.164,0.34,0.522,3.522
Norway8944,0,0.147,0.302,0.462,3.462
Norway8967,0,0.128,0.261,0.397,3.397
Norway8968,0,0.182,0.379,0.585,3.585
Norway8969,0,0.143,0.293,0.449,3.449
Norway8947,0,0.15,0.309,0.474,3.474
Norway8948,0,0.119,0.243,0.368,3.368
Norway8949,0,0.115,0.232,0.351,3.351
Norway8950,0,0.13,0.266,0.406,3.406
Norway8951,0,0.134,0.275,0.419,3.419
Norway8952,0,0.14,0.287,0.439,3.439
Norway8953,0,0.13,0.265,0.404,3.404
Norway8954,0,0.118,0.238,0.36,3.36
Norway8955,0,0.123,0.251,0.382,3.382
Norway8956,0,0.128,0.261,0.397,3.397
Norway8957,0,0.146,0.3,0.459,3.459
Norway8958,0,0.135,0.277,0.422,3.422
Norway8964,0,0.19,0.395,0.61,3.61
Norway8965,0,0.131,0.268,0.409,3.409
Norway8966,0,0.148,0.306,0.468,3.468
Norway8970,0,0.135,0.277,0.422,3.422
Norway8971,0,0.144,0.295,0.452,3.452
Norway8972,0,0.268,0.565,0.881,3.881
Norway8973,0,0.145,0.298,0.455,3.455
Norway8974,0,0.13,0.266,0.406,3.406
Norway8975,0,0.143,0.293,0.448,3.448
Norway9111,0,0.201,0.42,0.651,3.651
Norway9171,0,0.13,0.264,0.401,3.401
Norway9181,0,0.152,0.313,0.48,3.48
Norway9182,0,0.144,0.296,0.452,3.452
Norway8959,0,0.125,0.255,0.388,3.388
Norway8960,0,0.14,0.286,0.438,3.438
Norway8961,0,0.225,0.473,0.735,3.735
Norway8962,0,0.292,0.618,0.966,3.966
Norway8963,0,0.478,1.023,1.609,4.609
Norway9115,0,0.135,0.277,0.422,3.422
Norway9117,0,0.233,0.49,0.761,3.761
Norway9118,0,0.313,0.664,1.039,4.039
Norway9119,0,0.213,0.446,0.692,3.692
Norway9120,0,0.159,0.329,0.505,3.505
Norway9121,0,0.141,0.29,0.443,3.443
Norway9122,0,0.143,0.293,0.449,3.449
Norway9123,0,0.131,0.267,0.406,3.406
Norway9124,0,0.338,0.719,1.126,4.126
Norway9125,0,0.235,0.494,0.769,3.769
Norway9126,0,0.174,0.36,0.554,3.554
Norway9127,0,0.131,0.267,0.407,3.407
Norway9146,0,0.123,0.251,0.381,3.381
Norway9147,0,0.198,0.414,0.641,3.641
Norway9148,0,0.227,0.476,0.74,3.74
Norway9149,0,0.193,0.403,0.623,3.623
Norway9150,0,0.174,0.362,0.557,3.557
Norway9151,0,0.818,1.762,2.786,5.786
Norway9152,0,0.139,0.286,0.436,3.436
Norway9153,0,0.439,0.938,1.474,4.474
Norway9154,0,0.14,0.286,0.436,3.436
Norway9155,0,0.202,0.42,0.65,3.65
Norway9156,0,0.189,0.394,0.609,3.609
Norway9157,0,0.173,0.357,0.55,3.55
Norway9158,0,0.165,0.341,0.524,3.524
Norway9159,0,0.273,0.577,0.901,3.901
Norway9160,0,0.273,0.577,0.9,3.9
Norway9161,0,0.311,0.659,1.03,4.03
Norway9162,0,0.272,0.574,0.895,3.895
Norway9163,0,0.25,0.525,0.818,3.818
Norway9164,0,0.147,0.303,0.464,3.464
Norway9165,0,0.188,0.392,0.605,3.605
Norway9166,0,0.165,0.342,0.526,3.526
Norway9167,0,0.159,0.329,0.505,3.505
Norway9168,0,0.259,0.546,0.85,3.85
Norway9169,0,0.19,0.396,0.611,3.611
Norway9170,0,0.158,0.327,0.503,3.503
Norway9172,0,0.118,0.238,0.361,3.361
Norway9173,0,0.135,0.276,0.421,3.421
Norway9174,0,0.124,0.251,0.381,3.381
Norway9175,0,0.119,0.241,0.365,3.365
Norway9176,0,0.12,0.243,0.368,3.368
Norway9177,0,0.14,0.287,0.438,3.438
Norway9178,0,0.468,1.001,1.575,4.575
Norway9179,0,0.222,0.465,0.722,3.722
Norway9180,0,0.149,0.306,0.469,3.469
Norway9217,0,0.263,0.554,0.864,3.864
Norway9190,0,0.186,0.387,0.597,3.597
Norway9225,0,0.176,0.365,0.562,3.562
Norway9228,0,0.174,0.362,0.557,3.557
Norway9101,0,0.163,0.337,0.517,3.517
Norway8453,0,0.115,0.231,0.348,3.348
RussianFederation9515,0,0.14,0.287,0.439,3.439
RussianFederation9516,0,0.172,0.357,0.55,3.55
RussianFederation9517,0,0.14,0.286,0.437,3.437
RussianFederation9990,0,0.143,0.294,0.449,3.449
RussianFederation9991,0,0.215,0.449,0.697,3.697
RussianFederation9992,0,0.243,0.512,0.797,3.797
RussianFederation9993,0,0.158,0.325,0.498,3.498
RussianFederation10004,0,0.235,0.494,0.768,3.768
RussianFederation10005,0,0.219,0.459,0.712,3.712
RussianFederation10031,0,0.161,0.333,0.512,3.512
RussianFederation10033,0,0.22,0.462,0.716,3.716
RussianFederation10035,0,0.349,0.741,1.161,4.161
RussianFederation9510,0,0.226,0.474,0.736,3.736
RussianFederation9525,0,0.359,0.763,1.195,4.195
RussianFederation9526,0,0.496,1.063,1.674,4.674
RussianFederation9527,0,0.352,0.749,1.174,4.174
RussianFederation9530,0,0.353,0.75,1.175,4.175
RussianFederation9531,0,0.399,0.852,1.338,4.338
RussianFederation9532,0,0.368,0.783,1.229,4.229
RussianFederation9537,0,0.365,0.777,1.219,4.219
RussianFederation9538,0,0.554,1.188,1.872,4.872
RussianFederation9539,0,0.445,0.951,1.495,4.495
RussianFederation9549,0,0.286,0.605,0.945,3.945
RussianFederation9961,0,0.335,0.712,1.115,4.115
RussianFederation9962,0,0.41,0.873,1.371,4.371
RussianFederation9963,0,0.575,1.235,1.947,4.947
RussianFederation9964,0,0.276,0.582,0.908,3.908
RussianFederation9965,0,0.539,1.155,1.82,4.82
RussianFederation9966,0,0.965,2.082,3.295,6.295
RussianFederation9995,0,0.199,0.415,0.643,3.643
RussianFederation9996,0,0.232,0.487,0.757,3.757
RussianFederation9997,0,0.241,0.508,0.79,3.79
RussianFederation9998,0,0.224,0.471,0.731,3.731
RussianFederation9999,0,0.273,0.576,0.899,3.899
RussianFederation10000,0,0.276,0.584,0.912,3.912
RussianFederation10001,0,0.206,0.429,0.665,3.665
RussianFederation10002,0,0.253,0.533,0.831,3.831
RussianFederation10003,0,0.226,0.475,0.738,3.738
RussianFederation10037,0,0.232,0.487,0.756,3.756
RussianFederation10038,0,0.335,0.711,1.115,4.115
RussianFederation10039,0,0.33,0.7,1.097,4.097
RussianFederation10179,0,0.165,0.341,0.524,3.524
RussianFederation10180,0,0.176,0.364,0.561,3.561
RussianFederation10181,0,0.261,0.55,0.857,3.857
RussianFederation10188,0,0.195,0.405,0.627,3.627
RussianFederation9519,0,0.419,0.893,1.403,4.403
RussianFederation9520,0,0.584,1.253,1.976,4.976
RussianFederation9521,0,0.545,1.169,1.843,4.843
RussianFederation9282,0,0.128,0.26,0.395,3.395
RussianFederation9283,0,0.124,0.252,0.382,3.382
RussianFederation9284,0,0.13,0.266,0.404,3.404
RussianFederation9285,0,0.126,0.258,0.392,3.392
RussianFederation9287,0,0.133,0.272,0.414,3.414
RussianFederation9289,0,0.134,0.273,0.415,3.415
RussianFederation9290,0,0.132,0.269,0.41,3.41
RussianFederation9293,0,0.143,0.292,0.447,3.447
RussianFederation9307,0,0.135,0.276,0.421,3.421
RussianFederation9308,0,0.126,0.257,0.391,3.391
RussianFederation9309,0,0.131,0.268,0.408,3.408
RussianFederation9310,0,0.118,0.238,0.361,3.361
RussianFederation9311,0,0.135,0.277,0.423,3.423
RussianFederation9312,0,0.123,0.25,0.379,3.379
RussianFederation9313,0,0.125,0.255,0.387,3.387
RussianFederation9314,0,0.128,0.261,0.397,3.397
RussianFederation9315,0,0.132,0.271,0.413,3.413
RussianFederation9316,0,0.132,0.269,0.41,3.41
RussianFederation9317,0,0.132,0.27,0.411,3.411
RussianFederation9319,0,0.133,0.272,0.415,3.415
RussianFederation9320,0,0.127,0.259,0.394,3.394
RussianFederation9321,0,0.124,0.251,0.381,3.381
RussianFederation9322,0,0.125,0.254,0.385,3.385
RussianFederation9323,0,0.149,0.308,0.472,3.472
RussianFederation9324,0,0.131,0.268,0.408,3.408
RussianFederation9325,0,0.143,0.295,0.45,3.45
RussianFederation9348,0,0.122,0.249,0.378,3.378
RussianFederation9326,0,0.132,0.268,0.408,3.408
RussianFederation9327,0,0.123,0.25,0.379,3.379
RussianFederation9328,0,0.124,0.252,0.383,3.383
RussianFederation9329,0,0.176,0.367,0.565,3.565
RussianFederation9330,0,0.154,0.319,0.489,3.489
RussianFederation9331,0,0.13,0.267,0.407,3.407
RussianFederation9357,0,0.132,0.269,0.41,3.41
RussianFederation9358,0,0.133,0.272,0.415,3.415
RussianFederation9361,0,0.133,0.271,0.413,3.413
RussianFederation9362,0,0.134,0.274,0.418,3.418
RussianFederation9363,0,0.258,0.544,0.848,3.848
RussianFederation9364,0,0.14,0.287,0.439,3.439
RussianFederation9367,0,0.113,0.229,0.346,3.346
RussianFederation9368,0,0.127,0.258,0.392,3.392
RussianFederation9369,0,0.133,0.271,0.413,3.413
RussianFederation9370,0,0.126,0.256,0.39,3.39
RussianFederation9371,0,0.132,0.27,0.411,3.411
RussianFederation9372,0,0.132,0.27,0.411,3.411
RussianFederation9373,0,0.166,0.345,0.531,3.531
RussianFederation9374,0,0.125,0.253,0.384,3.384
RussianFederation9375,0,0.129,0.263,0.401,3.401
RussianFederation9380,0,0.185,0.385,0.594,3.594
RussianFederation9381,0,0.136,0.278,0.424,3.424
RussianFederation9383,0,0.161,0.332,0.511,3.511
RussianFederation9386,0,0.164,0.338,0.52,3.52
RussianFederation9388,0,0.139,0.284,0.434,3.434
RussianFederation9389,0,0.166,0.345,0.531,3.531
RussianFederation9390,0,0.146,0.299,0.458,3.458
RussianFederation9392,0,0.128,0.262,0.399,3.399
RussianFederation9393,0,0.165,0.341,0.524,3.524
RussianFederation9394,0,0.157,0.324,0.497,3.497
RussianFederation9395,0,0.159,0.328,0.503,3.503
RussianFederation9396,0,0.155,0.319,0.49,3.49
RussianFederation9397,0,0.164,0.339,0.521,3.521
RussianFederation9398,0,0.153,0.316,0.485,3.485
RussianFederation9399,0,0.139,0.284,0.434,3.434
RussianFederation9400,0,0.13,0.266,0.406,3.406
RussianFederation9391,0,0.124,0.252,0.382,3.382
RussianFederation9404,0,0.149,0.306,0.468,3.468
RussianFederation9405,0,0.182,0.378,0.584,3.584
RussianFederation9406,0,0.235,0.493,0.767,3.767
RussianFederation9411,0,0.144,0.297,0.454,3.454
RussianFederation9413,0,0.137,0.281,0.429,3.429
RussianFederation9414,0,0.122,0.248,0.376,3.376
RussianFederation9415,0,0.395,0.843,1.323,4.323
RussianFederation9416,0,0.13,0.265,0.403,3.403
RussianFederation9412,0,0.216,0.452,0.7,3.7
RussianFederation9294,0,0.165,0.341,0.524,3.524
RussianFederation9295,0,0.263,0.556,0.866,3.866
RussianFederation9343,0,0.142,0.292,0.446,3.446
RussianFederation9376,0,0.143,0.293,0.448,3.448
RussianFederation9377,0,0.191,0.398,0.614,3.614
RussianFederation9378,0,0.44,0.938,1.475,4.475
RussianFederation9379,0,0.164,0.339,0.522,3.522
RussianFederation9385,0,0.194,0.405,0.627,3.627
RussianFederation9298,0,0.198,0.413,0.64,3.64
RussianFederation9299,0,0.221,0.463,0.719,3.719
RussianFederation9300,0,0.209,0.437,0.677,3.677
RussianFederation9301,0,0.147,0.303,0.464,3.464
RussianFederation9305,0,0.198,0.414,0.64,3.64
RussianFederation9342,0,0.139,0.284,0.435,3.435
RussianFederation9302,0,0.253,0.532,0.829,3.829
RussianFederation9303,0,0.209,0.438,0.678,3.678
RussianFederation9349,0,0.279,0.589,0.919,3.919
RussianFederation11255,0,0.162,0.333,0.511,3.511
RussianFederation11256,0,0.226,0.47,0.73,3.73
RussianFederation11257,0,0.207,0.43,0.665,3.665
RussianFederation11258,0,0.208,0.432,0.669,3.669
RussianFederation11259,0,0.209,0.434,0.672,3.672
RussianFederation11664,0,0.1,0.2,0.3,3.3
RussianFederation11665,0,0.1,0.2,0.3,3.3
RussianFederation11666,0,0.1,0.2,0.3,3.3
RussianFederation11669,0,0.1,0.2,0.3,3.3
RussianFederation11670,0,0.1,0.2,0.3,3.3
RussianFederation11671,0,0.1,0.2,0.3,3.3
RussianFederation11672,0,0.1,0.2,0.3,3.3
RussianFederation11673,0,0.1,0.2,0.3,3.3
RussianFederation11690,0,0.1,0.2,0.3,3.3
RussianFederation11691,0,0.1,0.2,0.3,3.3
RussianFederation11692,0,0.1,0.2,0.3,3.3
RussianFederation11706,0,0.1,0.2,0.3,3.3
RussianFederation11274,0,0.169,0.347,0.534,3.534
RussianFederation11275,0,0.372,0.782,1.225,4.225
RussianFederation11276,0,0.18,0.372,0.573,3.573
RussianFederation11718,0,0.161,0.331,0.509,3.509
RussianFederation11719,0,0.186,0.383,0.591,3.591
RussianFederation11720,0,0.264,0.549,0.855,3.855
RussianFederation11721,0,0.515,1.085,1.706,4.706
RussianFederation11722,0,0.197,0.407,0.63,3.63
RussianFederation11735,0,0.346,0.725,1.134,4.134
RussianFederation3346,0,0.1,0.2,0.3,3.3
RussianFederation3347,0,0.1,0.2,0.3,3.3
RussianFederation3348,0,0.353,0.738,1.155,4.155
RussianFederation3349,0,0.1,0.2,0.3,3.3
RussianFederation3350,0,0.1,0.2,0.3,3.3
RussianFederation3351,0,0.1,0.2,0.3,3.3
RussianFederation3352,0,0.286,0.596,0.929,3.929
RussianFederation3353,0,0.204,0.421,0.652,3.652
RussianFederation3354,0,0.165,0.338,0.519,3.519
RussianFederation3355,0,0.39,0.816,1.279,4.279
RussianFederation3356,0,0.436,0.916,1.438,4.438
RussianFederation3357,0,0.288,0.601,0.937,3.937
RussianFederation3359,0,0.192,0.395,0.611,3.611
RussianFederation3360,0,0.157,0.321,0.492,3.492
RussianFederation3361,0,0.159,0.325,0.499,3.499
RussianFederation2567,0,0.193,0.397,0.612,3.612
RussianFederation2565,0,0.1,0.2,0.3,3.3
RussianFederation2566,0,0.1,0.2,0.3,3.3
RussianFederation3358,0,0.14,0.285,0.434,3.434
RussianFederation3362,0,0.139,0.282,0.43,3.43
RussianFederation3363,0,0.141,0.288,0.439,3.439
RussianFederation4978,0,0.137,0.28,0.427,3.427
RussianFederation11965,0,0.1,0.2,0.3,3.3
RussianFederation9264,0,0.207,0.431,0.667,3.667
UnitedStates4981,0,0.178,0.366,0.564,3.564
UnitedStates4982,0,0.208,0.43,0.666,3.666
Canada3384,0,0.209,0.432,0.67,3.67
Canada3452,0,0.114,0.231,0.349,3.349
Canada5687,0,0.213,0.442,0.685,3.685
Canada5698,0,0.15,0.307,0.471,3.471
Canada5762,0,0.227,0.471,0.733,3.733
Canada5746,0,0.254,0.529,0.825,3.825
Canada5747,0,0.212,0.44,0.683,3.683
Canada5748,0,0.19,0.392,0.606,3.606
Canada5766,0,0.211,0.438,0.679,3.679
Canada5844,0,0.215,0.447,0.694,3.694
Canada5903,0,0.257,0.535,0.834,3.834
Canada5908,0,0.306,0.639,1,4
Canada6123,0,0.42,0.884,1.39,4.39
Canada6165,0,0.348,0.729,1.144,4.144
Canada5092,0,0.133,0.269,0.409,3.409
Canada5100,0,0.156,0.319,0.489,3.489
Canada5103,0,0.132,0.268,0.407,3.407
Canada5105,0,0.116,0.234,0.354,3.354
Canada5108,0,0.115,0.232,0.351,3.351
Denmark7080,0,0.119,0.241,0.366,3.366
Denmark7431,0,0.112,0.226,0.341,3.341
Denmark7533,0,0.155,0.319,0.49,3.49
Denmark7035,0,0.12,0.242,0.367,3.367
Denmark7081,0,0.116,0.235,0.356,3.356
Denmark7082,0,0.12,0.243,0.369,3.369
Denmark7083,0,0.112,0.225,0.341,3.341
Denmark7084,0,0.14,0.287,0.438,3.438
Denmark7085,0,0.123,0.249,0.378,3.378
Denmark7086,0,0.119,0.242,0.367,3.367
Denmark7087,0,0.141,0.289,0.442,3.442
Denmark7088,0,0.163,0.335,0.516,3.516
Denmark7089,0,0.149,0.305,0.467,3.467
Denmark7090,0,0.126,0.256,0.39,3.39
Denmark7091,0,0.117,0.238,0.36,3.36
Denmark7092,0,0.11,0.222,0.336,3.336
Denmark7093,0,0.124,0.252,0.384,3.384
Denmark7094,0,0.209,0.437,0.678,3.678
Denmark7095,0,0.121,0.245,0.372,3.372
Denmark7096,0,0.136,0.279,0.427,3.427
Denmark7097,0,0.118,0.239,0.363,3.363
Denmark7098,0,0.135,0.275,0.42,3.42
Denmark7099,0,0.121,0.246,0.374,3.374
Denmark7100,0,0.124,0.253,0.385,3.385
Denmark7101,0,0.125,0.253,0.385,3.385
Denmark7102,0,0.144,0.296,0.453,3.453
Denmark7103,0,0.131,0.266,0.406,3.406
Denmark7197,0,0.121,0.245,0.371,3.371
Denmark7217,0,0.116,0.234,0.354,3.354
Denmark8291,0,0.115,0.231,0.35,3.35
