segments,s1,s10,s100,s1000,smax
UnitedKingdom8098,0,0.17093567715750801,0.2163480471753555,0.2609356509314643,3.5189356556998357
UnitedStates7406,0,0.20087472679290608,0.24124131133702953,0.2808747697082503,3.342874741098021
UnitedStates7408,0,0.19882978403821905,0.2391963685823425,0.2788298269535633,3.353829798343334
UnitedStates5206,0,0.23146021969368802,0.2819184202984092,0.33146021373322354,3.297460228038338
UnitedStates5207,0,0.18409012085023735,0.23454830641724211,0.2840900850874505,3.5140901232344226
UnitedStates5208,0,0.26539129777388126,0.31584951341631906,0.3653913216157392,3.1013913359208543
UnitedStates5209,0,0.25870046902760824,0.30915868467004604,0.35870049286946615,3.086700507174581
UnitedStates5210,0,0.2566666603088379,0.3071248759512757,0.3566666841506958,3.08266669845581
UnitedStates5211,0,0.2521326982579526,0.30763672944954745,0.36213271256306734,3.1041327173314386
UnitedStates5212,0,0.25073401421755426,0.3062380454091491,0.360734028522669,3.103734033291041
UnitedStates5213,0,0.24955223567450213,0.305056266866097,0.3595522499796169,3.108552254747988
UnitedStates5214,0,0.08366611924284612,0.14926179657047184,0.21366614427679692,3.932666129971682
UnitedStates5215,0,0.32037139802257975,0.3758754292141746,0.4303714123276945,2.993371417096066
UnitedStates5216,0,0.23690699914406088,0.29241101529793934,0.34690698364685324,3.264907007488711
UnitedStates5217,0,0.09533823753873788,0.15084226873033274,0.20533825184385263,3.746576365247173
UnitedStates5245,0,0.30347106870540896,0.3589750998970038,0.4134710830105237,2.9724710973156383
UnitedStates5247,0,0.0822994642079195,0.1327576798503572,0.18229948804977741,4.116299471360477
UnitedStates5250,0,0.31299384462927593,0.36345206027171373,0.41299386847113384,3.018993892312992
UnitedStates5251,0,0.29403093535863234,0.37980985984517024,0.4640308924432881,2.9910309448953756
UnitedStates5252,0,0.17008988135390812,0.2558688133593042,0.3400898533397251,3.4855342999034455
UnitedStates5253,0,0.10195121994624984,0.1574552511378447,0.21195123425136458,3.794951217562064
UnitedStates5273,0,0.1966331402225605,0.2470913558649983,0.2966331640644184,3.4026331068439597
UnitedStates5271,0,0.3027845644659293,0.3481969645592098,0.39278459784453035,2.9317846026129013
UnitedStates5272,0,0.008376753319778996,0.05378913461591392,0.09837674944547709,4.071376754213849
WestBankandGaza778,0,0.11253687123985065,0.17308671798060268,0.23253687600822223,3.9555368772003145
WesternSahara944,0,0.041280972757818946,0.1674264817884803,0.29128097275781895,4.593986854830267
WesternSahara957,0,0.13081711948149866,0.25696265858759304,0.38081717908614343,4.5428171266340565
WesternSahara945,0,0.5175028751351238,0.6436483841657852,0.7675028751351238,1.7655029800392983
WesternSahara946,0,0.0372463615412017,0.15834604750384756,0.27724635617678367,4.625579796003749
WesternSahara947,0,0.05013308692403157,0.17123279544325226,0.2901331262630971,4.47935531378217
WesternSahara948,0,0.2512700471968303,0.3723697406783346,0.4912700567335735,3.277835343369926
WesternSahara949,0,0.2775851286960962,0.3986848221776005,0.5175851382328394,3.432150424869192
WesternSahara950,0,0.2781589871313641,0.40430449616202546,0.5281589871313641,3.416159039583451
WesternSahara951,0,0.10560758854414343,0.23175309757480478,0.3556075885441434,4.248607581391586
WesternSahara952,0,0.1175934341972098,0.23869312767871387,0.35759344373395296,4.558736328465246
WesternSahara953,0,0.13632435232349593,0.257424045805,0.3763243618602391,4.061657634794199
WesternSahara954,0,0.03697488824390385,0.16312041231228172,0.2869749180462262,4.651641537823906
WesternSahara955,0,0.17349045257910878,0.27440688386398415,0.3734905002628246,3.766490509799567
WesternSahara956,0,0.31235919774022025,0.4031839979267813,0.4923592644974224,3.1223591595932474
AntiguaandBarbuda8103,0,0.06692834560559177,0.10729490571342584,0.14692834009216213,4.091595023050766
AntiguaandBarbuda8106,0,0.0973895255242688,0.13775607999295916,0.17738950883496826,3.8710561619912487
Bahrain9360,0,0.13915978243542365,0.24007621372029914,0.33915983011913947,5.680159811045653
Bahrain9350,0,0.15587990190360623,0.3274378110275481,0.4958799352822073,4.87187992812965
Bahrain9352,0,0.10691422518212435,0.21792228756531418,0.32691425379235384,4.898914253792354
Bahrain9353,0,0.10245449520717154,0.20337092649204702,0.30245454289088736,4.822454523817401
Bahrain9351,0,0.14450576636758938,0.3766135222322834,0.604505804514562,4.410505790209448
Bahrain9354,0,0.0938124003821531,0.20482046276534294,0.3138124289923826,4.738812428992382
Bahrain9356,0,0.09156298743326252,0.2126626809147667,0.3315629969700057,4.587563004122563
Bahrain9355,0,0.11563985487639328,0.2871977339249021,0.4556398286503496,4.557639876334066
Bahrain9365,0,0.06689090629371636,0.3141361088058819,0.5568909158304596,4.982557471235123
Barbados8158,0,0.0068855082528222825,0.04725207024037092,0.08688550646468293,4.324885509146892
CapeVerde8398,0,0.06398265296396824,0.11948666911784664,0.1739826374667606,3.8205382111686195
CapeVerde8405,0,0.18322444106555213,0.238728472257147,0.2932244553706669,3.397224467291596
CapeVerde8417,0,0.17634887887546546,0.22680709451790315,0.2763489027173234,3.4263489051015092
CapeVerde8422,0,0.22353191071368272,0.2941733885527492,0.363531896408568,3.246531929787169
CapeVerde8427,0,0.1728671274699649,0.22837115866155977,0.28286714177507966,3.4368671536960087
CapeVerde8434,0,0.1901449232861615,0.26078643120066103,0.33014496858569153,3.3691449447438337
CapeVerde8439,0,0.19297665925805207,0.2535264759233711,0.3129766044217789,3.420976633032008
CapeVerde8440,0,0.06680555103553665,0.1374470439123196,0.2068055665327443,3.952805576069488
China2353,0,0.21084503068579563,0.62460226662188,1.0308449639285935,4.371075863739385
China2354,0,0.1678277462773432,0.5815850122888604,0.9878277391247858,5.953827758198272
China2355,0,0.19014597159436797,0.5635366831371947,0.9301459811311111,5.593157409010445
China2356,0,0.06843469057101681,0.47210032548421965,0.8684347024919458,5.181863220787235
China10518,0,0.2052748429405149,0.5231615834426124,0.8352749573814329,4.5412749287712035
China10519,0,0.23595537897156071,0.6648501217059826,1.0859554028134186,6.663955326519473
China10520,0,0.6537380171812948,0.9716247576833923,1.2837381316222127,4.239824034789937
China10523,0,0.1268939477846619,0.5961552374689157,1.056893940036058,5.058227210585833
China10493,0,0.11469370816201108,0.4729469429819334,0.824693686704339,5.733421080808342
China10494,0,0.2763182405356326,0.634571505430988,0.9863182786826052,4.509673098934069
China10495,0,0.6324497557165643,1.0007946517102333,1.3624497747900506,1.8364496984961054
China10522,0,0.09948583295938229,0.4930598367742708,0.8794858639537976,5.6654858401119395
China2264,0,0.7310145004935888,1.331467032050221,1.9210143192954687,1.464014433736387
China2265,0,0.48388561634644933,1.0742466371064987,1.6538856926403946,3.6485522861920305
China2266,0,0.2606549737138799,0.8459700586230401,1.4206548211259893,4.935291400639539
China2267,0,0.28539118372592753,0.8707062686350877,1.445391031138037,4.954782369486425
China2268,0,0.10121356523018721,0.6865287403656463,1.2612135914562308,6.507294359564599
China2269,0,0.3843289629884743,0.9696441681993666,1.5443290488191628,5.120589842505076
China2270,0,0.3172148937860477,0.9025300388460735,1.4772148604074467,5.116214822260474
China2271,0,0.4485453360261973,1.0338604209353575,1.6085451834383067,4.274045221585279
China2272,0,0.3492670500436832,0.9345823755563076,1.5092673742929508,5.072767164484601
China2273,0,0.11335755248235546,0.7339934063864816,1.3433574523465523,6.39035753817724
China2274,0,0.13604650663775075,0.7364991584961145,1.3260465638582097,6.202046554321466
China2275,0,0.408273642477782,0.9582680486182746,1.4982736162517383,4.562322884020599
China2276,0,0.26850933059193594,0.6318084110364484,0.9885093592021654,4.469509387812395
China2277,0,0.44921981341311357,0.7923356316609973,1.1292198801703157,3.5302197752661413
China2278,0,0.24001960487712193,0.48221899184013006,0.7200196239506083,5.861861855701097
China2279,0,0.27729948823142325,0.4993156129978027,0.7172995454518822,5.27829947869468
China2280,0,0.26567990907194505,0.46751271149082974,0.6656798852300871,4.911407260260605
China2281,0,0.2630218687872763,0.45980891580787,0.6530219736914511,3.683021868787276
China2282,0,0.5334558030722287,0.6898762053978325,0.8434557458517697,2.3754557649252557
China2283,0,0.5769726510497373,0.7333931736770736,0.8869728322478574,4.631972755953912
China2284,0,0.24247162369130404,0.3988920861677743,0.5524716856801346,5.175471642764791
China2285,0,0.23904700568471515,0.3954674380857526,0.5490470080689009,5.096562103302818
China2286,0,0.19127086481511202,0.3476912671407164,0.501270807594653,5.842770836204883
China2287,0,0.29070592594721845,0.522813681811912,0.7507059640941911,3.2747059068737325
China2288,0,0.12233538179505787,0.2787558141960953,0.43233538417924366,5.682858102131972
China2289,0,1.1193527226295172,1.3514604784942108,1.57935276077649,2.208352570041627
China2290,0,0.11104265067249675,0.3128754831668147,0.5110426864352836,6.071042672130169
China2291,0,0.11393727514464064,0.31577007756352554,0.5139372513027827,6.449937260839525
China2292,0,0.6142213235911349,0.816054065859154,1.0142211805399874,5.610221228223703
China2293,0,0.9457197502891033,1.1475526128588545,1.345719845656535,2.7347199410239664
China2294,0,0.6988673221185469,0.8906084934391174,1.0788673173501753,3.578840088041093
China2295,0,0.38065081391589684,0.5269795851431869,0.6706507757689242,4.324955163815188
China2296,0,0.2603708572204615,0.45211202854103205,0.6403708524520899,3.9318708429153473
China2297,0,0.27951078205177105,0.48638933986894717,0.6895106294638804,2.9775106866843393
China2298,0,0.04406616718933459,0.25094478515737667,0.4540661338107335,5.053780569388126
China2299,0,0.17444295039219138,0.4065507062568854,0.634442988539164,4.066706050062602
China2300,0,0.35527949007401594,0.5672039837420813,0.7752795663679612,3.174279585441447
China2301,0,0.3839562302192121,0.5958807238872774,0.8039563065131574,3.1509563255866437
China2302,0,0.232710542955324,0.40931426762842316,0.5827105667971819,4.120710514345094
China2303,0,0.44299997860872287,0.6196037634326879,0.7930001216598703,3.685000093049641
China2304,0,0.4224495574489322,0.6293282355678405,0.8324496432796207,3.269449538375446
China2305,0,0.3837919158353338,0.6058080406017132,0.8237919730557928,3.663791925372077
China2306,0,0.44422301646511997,0.6511016945840282,0.8542231022958084,3.742222997391633
China2307,0,0.07520840349059058,0.3174077829347406,0.5552084076629157,6.139208400510358
China2308,0,0.15197989708391502,0.37399600681257805,0.5919799245020516,4.589646620573676
China2309,0,0.0548300002031441,0.27684610993180714,0.4948300276212807,4.913258526843083
China10277,0,0.4869298140207925,0.7543582787295873,1.016929785410563,3.9069298998514808
China10278,0,0.1144503229941164,0.35664970995712475,0.5944503420676027,7.4480410198057925
China10286,0,0.2943573952016538,0.4961901374696729,0.6943572521505064,4.5833573284444515
