NA,s10,s100,s1000,smax,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB
Philippines10573,0.219,0.457,0.708,3.708,1,1,1,2,2,0.666666667,0.666666667,0.666666667,1,1,1,1,0.5,0.5,0.5,9.94,1492.1,0,2.170752601,23.95794003,0.058664971,16.05935889,2.170752601,0.18041912,21.8756495
Philippines10574,0.119,0.24,0.363,3.363,13,1,6,3,3,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,24.683,822.93,0,0.060012629,0.724931915,0.056092682,17.72135035,0.060012629,0.182103415,23.98391481
Philippines10575,0.114,0.23,0.348,3.348,1,1,1,1,1,1.333333333,1.333333333,1.333333333,0,0,0,0,0.5,0.5,0.5,13.969,238.852,0,0.939329585,12.31822104,0.057427197,19.28401093,0.939329585,0.1763873,26.2181058
Philippines10576,0.114,0.231,0.349,3.349,13,3,1,2,4,2,2,2,2.75,2.75,2.75,2.75,1.5,1.5,1.5,25.242,165.846,0,0.277671558,2.905021766,0.060602451,15.13342217,0.277671558,0.186795011,20.47081038
Philippines10577,0.149,0.307,0.47,3.47,5,3,10,10,8,8,8,8,8.5,8.5,8.5,8.5,4.5,4.5,4.5,10.498,166.715,0,0.923465664,5.148136157,0.061494033,7.877520363,0.923465664,0.186699417,10.77759557
Philippines10578,0.187,0.39,0.602,3.602,3,1,1,1,2,0.666666667,0.666666667,0.666666667,2.5,2.5,2.5,2.5,3.25,3.25,3.25,14.047,470.082,0,6.199120214,91.19479913,0.058475144,21.77168552,6.199120214,0.176347708,29.48349607
Philippines10579,0.154,0.319,0.489,3.489,2,1,2,1,3,1.333333333,1.333333333,1.333333333,2.25,2.25,2.25,2.25,2.75,2.75,2.75,10.558,1762.11,1.097,2.13781892,28.9735245,0.060037136,19.86734704,2.13781892,0.179304503,26.87107432
Philippines10580,0.17,0.352,0.541,3.541,2,1,1,1,2,0.333333333,0.333333333,0.333333333,1.5,1.5,1.5,1.5,1.25,1.25,1.25,7.326,686.989,0,1.696307608,30.34563337,0.057012564,26.95002454,1.696307608,0.167785315,36.99671743
Philippines10581,0.155,0.32,0.492,3.492,29,4,1,1,1,4,4,4,4,4,4,4,2.75,2.75,2.75,21.587,342.744,38.5495,1.268785867,24.19543001,0.058562366,28.27124236,1.268785867,0.166267306,39.29200754
Philippines10582,0.172,0.356,0.547,3.547,8,2,3,1,1,3.333333333,3.333333333,3.333333333,6.25,6.25,6.25,6.25,1.25,1.25,1.25,19.273,177.773,0,2.077378184,38.28482305,0.057094311,27.7626604,2.077378184,0.167244882,38.15804477
Philippines10583,0.289,0.61,0.951,3.951,2,2,1,1,1,0.666666667,0.666666667,0.666666667,2,2,2,2,1,1,1,6.567,254.296,0,0.052836732,0.724248894,0.054935557,20.08337189,0.052836732,0.17385001,27.24269243
Philippines10584,0.376,0.8,1.254,4.254,13,3,1,1,4,3.333333333,3.333333333,3.333333333,3.25,3.25,3.25,3.25,4,4,4,21.322,186.093,2.133,0.276504624,5.411702438,0.055903496,29.59466313,0.276504624,0.166284408,40.64393363
Philippines10585,0.388,0.826,1.294,4.294,9,1,1,4,2,3.333333333,3.333333333,3.333333333,1.5,1.5,1.5,1.5,1,1,1,17.363,275.324,0,0.706051595,7.264177858,0.062813142,14.72304854,0.706051595,0.187341554,20.30861738
Philippines10588,0.116,0.236,0.358,3.358,25,6,3,3,3,2,2,2,2.75,2.75,2.75,2.75,1.25,1.25,1.25,21.362,376.798,26.326,0.641319409,6.180339732,0.06193291,13.81620803,0.641319409,0.183441885,19.10725226
Philippines10589,0.116,0.235,0.356,3.356,20,2,5,4,100,5,5,5,5.75,5.75,5.75,5.75,5,5,5,77.251,107.285,1.746,0.442702791,7.231582387,0.057131126,24.45098987,0.442702791,0.170396573,33.18794349
Philippines10590,0.138,0.283,0.431,3.431,27,4,2,1,5,0.666666667,0.666666667,0.666666667,1.25,1.25,1.25,1.25,2,2,2,46.551,283.276,0,0.78947154,14.80900689,0.057552828,27.9902576,0.78947154,0.165703014,38.76043697
Philippines10641,0.107,0.215,0.324,3.324,55,3,3,5,7,6,6,6,7.5,7.5,7.5,7.5,3.25,3.25,3.25,68.415,131.853,0,0.042706403,0.722758186,0.05436289,25.12353428,0.042706403,0.168646079,34.24481611
Philippines10646,0.111,0.224,0.338,3.338,48,5,1,7,3,4.666666667,4.666666667,4.666666667,4.25,4.25,4.25,4.25,4.5,4.5,4.5,38.741,29.08,8.914,3.043883559,18.00138275,0.059078332,8.633963069,3.043883559,0.186282469,11.66030072
Philippines10647,0.213,0.445,0.69,3.69,27,1,15,9,7,16.33333333,16.33333333,16.33333333,19.25,19.25,19.25,19.25,11.5,11.5,11.5,20.865,357.083,5.446,0.415536029,6.15215174,0.060613228,21.44327649,0.415536029,0.177770734,29.03704489
Philippines10648,0.149,0.306,0.469,3.469,13,4,5,9,8,9.333333333,9.333333333,9.333333333,9.25,9.25,9.25,9.25,6.5,6.5,6.5,10.836,174.652,201.471,0.990720584,15.19324912,0.056025791,22.96815002,0.990720584,0.175775287,30.6993305
