NA,s10,s100,s1000,smax,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB
RussianFederation9323,0.149,0.308,0.472,3.472,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.096,0,0,0.036787049,0.721903975,0.052999221,29.5436532,0.036787049,0.167868968,39.54417484
RussianFederation9324,0.131,0.268,0.408,3.408,91,1,4,3,4,2,2,2,2.25,2.25,2.25,2.25,2.25,2.25,2.25,128.278,0.081,0,0.036787147,0.721904311,0.05299718,29.54370329,0.036787147,0.167868485,39.54384327
RussianFederation9325,0.143,0.295,0.45,3.45,60,1,2,2,2,1.333333333,1.333333333,1.333333333,0.75,0.75,0.75,0.75,1.25,1.25,1.25,88.921,0.081,0,0.528544796,10.46696102,0.056900486,29.68712193,0.528544796,0.169726985,40.41514613
RussianFederation9348,0.122,0.249,0.378,3.378,316,10,18,17,18,14.33333333,14.33333333,14.33333333,16.75,16.75,16.75,16.75,17.75,17.75,17.75,759.234,0.081,0,0.741678762,10.13890724,0.060193299,19.62340256,0.741678762,0.178180199,26.93862247
RussianFederation9326,0.132,0.268,0.408,3.408,22,1,2,1,1,1.666666667,1.666666667,1.666666667,2,2,2,2,2,2,2,121.375,0.081,0,0.216100178,3.264752187,0.058333311,21.92698304,0.216100178,0.171954055,30.1908546
RussianFederation9327,0.123,0.25,0.379,3.379,204,5,8,6,7,5,5,5,9.75,9.75,9.75,9.75,5,5,5,365.459,0.081,0,0.031880529,0.720690256,0.042289601,36.51993919,0.031880529,0.160143876,47.12026969
RussianFederation9328,0.124,0.252,0.383,3.383,266,1,4,5,14,4.666666667,4.666666667,4.666666667,5.75,5.75,5.75,5.75,6,6,6,638.353,0.081,0,0.092977089,2.161610781,0.054522248,35.63741786,0.092977089,0.159998136,49.1052703
RussianFederation9329,0.176,0.367,0.565,3.565,73,6,2,6,1,2.666666667,2.666666667,2.666666667,1.25,1.25,1.25,1.25,0.25,0.25,0.25,112.735,0.081,0,0.517786658,10.81655315,0.055228968,31.8680735,0.517786658,0.164079567,43.7505018
RussianFederation9330,0.154,0.319,0.489,3.489,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.641,0,0,0.093809995,2.161742154,0.056333407,34.81614621,0.093809995,0.163548731,47.59855995
RussianFederation9331,0.13,0.267,0.407,3.407,216,17,13,9,8,10.66666667,10.66666667,10.66666667,9.25,9.25,9.25,9.25,7.25,7.25,7.25,254.13,0.081,0,0.294660012,5.058995525,0.054157886,25.9652215,0.294660012,0.173637934,34.15956862
RussianFederation9357,0.132,0.269,0.41,3.41,115,1,3,4,4,3,3,3,2.75,2.75,2.75,2.75,1.5,1.5,1.5,243.431,0.081,0,0.232321479,5.404014114,0.056041506,34.94500568,0.232321479,0.159719934,49.14320557
RussianFederation9358,0.133,0.272,0.415,3.415,69,1,2,2,2,2.333333333,2.333333333,2.333333333,3,3,3,3,5.5,5.5,5.5,186.869,0.081,0,0.300929047,3.626133259,0.057912978,17.28321503,0.300929047,0.180543366,23.5720295
RussianFederation9361,0.133,0.271,0.413,3.413,182,11,9,13,14,11,11,11,12.75,12.75,12.75,12.75,11.5,11.5,11.5,500.537,0.081,0,15.48139656,322.0046213,0.055883091,31.55450816,15.48139656,0.164392743,43.35884428
RussianFederation9362,0.134,0.274,0.418,3.418,15,1,1,2,1,3.666666667,3.666666667,3.666666667,5.25,5.25,5.25,5.25,5.75,5.75,5.75,133.505,0.081,0,101.2897012,951.7698406,0.063054657,13.38939519,101.2897012,0.18829058,18.46720493
RussianFederation9363,0.258,0.544,0.848,3.848,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.723,0,0,2.068051494,47.20130956,0.057187241,34.56265707,2.068051494,0.163987577,48.09485289
RussianFederation9364,0.14,0.287,0.439,3.439,482,17,17,16,16,16,16,16,17,17,17,17,17.25,17.25,17.25,535.358,0.081,0,72.13365519,591.7160004,0.061765409,11.73771704,72.13365519,0.185083771,16.11620004
RussianFederation9367,0.113,0.229,0.346,3.346,6,1,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,16.145,0.081,0,0.371769565,6.861292018,0.058649385,27.36629271,0.371769565,0.170543642,37.37053605
RussianFederation9368,0.127,0.258,0.392,3.392,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.485,0,0,0.092061914,2.161474528,0.055357786,35.76270217,0.092061914,0.156801433,49.81001177
RussianFederation9369,0.133,0.271,0.413,3.413,192,1,4,1,3,3,3,3,2,2,2,2,0.75,0.75,0.75,329.283,0.081,0,0.261467902,4.337144518,0.059337179,24.29375402,0.261467902,0.169931273,33.52558698
RussianFederation9370,0.126,0.256,0.39,3.39,199,5,4,6,10,5.333333333,5.333333333,5.333333333,6,6,6,6,4,4,4,419.695,0.081,0,0.372096318,4.352674231,0.060113653,16.679873,0.372096318,0.18108432,22.91826983
RussianFederation9371,0.132,0.27,0.411,3.411,147,5,4,8,3,4.333333333,4.333333333,4.333333333,4.5,4.5,4.5,4.5,5.5,5.5,5.5,197.083,0.081,0,0.350742773,3.990039768,0.062394239,16.2545342,0.350742773,0.180805333,22.64025419
RussianFederation9372,0.132,0.27,0.411,3.411,102,1,1,1,2,0,0,0,0.75,0.75,0.75,0.75,0.5,0.5,0.5,111.905,0.081,0,0.34059367,4.706753987,0.060294661,19.78462551,0.34059367,0.178349834,27.26297082
RussianFederation9373,0.166,0.345,0.531,3.531,72,1,1,1,1,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.5,0,0,0,111.494,0.081,0,0.310737218,4.343992407,0.060340756,20.01757535,0.310737218,0.178153034,27.59308098
RussianFederation9374,0.125,0.253,0.384,3.384,134,4,2,5,1,4.666666667,4.666666667,4.666666667,3.75,3.75,3.75,3.75,2,2,2,273.94,0.081,0,1.150936375,5.536460655,0.056299696,6.957232798,1.150936375,0.193384713,9.151633284
RussianFederation9375,0.129,0.263,0.401,3.401,64,1,2,1,1,1,1,1,0.5,0.5,0.5,0.5,0.75,0.75,0.75,74.485,0.081,0,0.372258607,1.842718117,0.054337382,7.166033391,0.372258607,0.193400085,9.367597448
RussianFederation9380,0.185,0.385,0.594,3.594,147,1,2,2,3,3,3,3,2.5,2.5,2.5,2.5,0.75,0.75,0.75,208.538,0.081,0,1.305229483,6.629871166,0.057265497,7.312558968,1.305229483,0.192832661,9.68266203
RussianFederation9381,0.136,0.278,0.424,3.424,98,2,5,2,2,1.666666667,1.666666667,1.666666667,3.5,3.5,3.5,3.5,3,3,3,260.835,0.081,0,3.341342537,64.97632586,0.057206634,29.38864298,3.341342537,0.165586956,40.54393511
RussianFederation9383,0.161,0.332,0.511,3.511,90,1,1,1,3,1,1,1,1.75,1.75,1.75,1.75,0.5,0.5,0.5,186.089,0.081,0,1.036956464,10.89335978,0.062865655,14.98747666,1.036956464,0.189542989,20.34766246
RussianFederation9386,0.164,0.338,0.52,3.52,30,5,3,3,1,1.666666667,1.666666667,1.666666667,1.25,1.25,1.25,1.25,0.25,0.25,0.25,87.949,0.081,0,0.248234123,5.764361559,0.053605565,35.8988774,0.248234123,0.15490844,49.74747969
RussianFederation9388,0.139,0.284,0.434,3.434,24,1,3,1,1,0.333333333,0.333333333,0.333333333,1.25,1.25,1.25,1.25,0.75,0.75,0.75,65.3,0.081,0,0.031285834,0.720591055,0.05359416,35.32678586,0.031285834,0.159793718,48.07718268
RussianFederation9389,0.166,0.345,0.531,3.531,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,15.605,0,0,0.031581295,0.720640968,0.054564763,34.50233228,0.031581295,0.159964201,47.59981408
RussianFederation9390,0.146,0.299,0.458,3.458,37,2,6,3,7,2,2,2,2.25,2.25,2.25,2.25,1.75,1.75,1.75,123.754,0.081,0,0.047254171,1.080929597,0.057126638,34.24046939,0.047254171,0.15983941,47.70990104
RussianFederation9392,0.128,0.262,0.399,3.399,33,6,8,4,6,8.333333333,8.333333333,8.333333333,8,8,8,8,6.5,6.5,6.5,193.259,0.081,0,1.376209329,29.58319724,0.054334684,32.98320781,1.376209329,0.161627462,45.18101073
RussianFederation9393,0.165,0.341,0.524,3.524,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10.937,0,0,14.03422673,67.79080717,0.056395599,6.986916865,14.03422673,0.192696136,9.204080838
RussianFederation9394,0.157,0.324,0.497,3.497,6,1,1,1,1,0.666666667,0.666666667,0.666666667,0.25,0.25,0.25,0.25,0.75,0.75,0.75,18.192,0.081,0,0.115977753,1.091082902,0.061147732,13.3664367,0.115977753,0.182897183,18.21772081
RussianFederation9395,0.159,0.328,0.503,3.503,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,31.392,0,0,0.092384642,1.087727017,0.060887951,16.85837644,0.092384642,0.172107441,23.71971017
RussianFederation9396,0.155,0.319,0.49,3.49,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.536,0,0,0.19753659,4.68287567,0.056474997,35.81953628,0.19753659,0.159282284,50.14343304
RussianFederation9397,0.164,0.339,0.521,3.521,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.5,0.5,0.5,5.308,0,0,0.030722625,0.720495069,0.053183162,36.03053768,0.030722625,0.160847374,49.21505407
RussianFederation9398,0.153,0.316,0.485,3.485,1,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,8.407,0,0,0.100527826,0.732457334,0.059007169,10.24862205,0.100527826,0.192525661,13.48815157
RussianFederation9399,0.139,0.284,0.434,3.434,1,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0,1.439,0,0,0.126562296,1.809672761,0.057935564,20.6650125,0.126562296,0.174898638,28.3271767
RussianFederation9400,0.13,0.266,0.406,3.406,300,38,29,29,27,29,29,29,26.25,26.25,26.25,26.25,31.25,31.25,31.25,547.79,0.081,0,0.149271665,2.529659798,0.057810659,24.83243088,0.149271665,0.172253252,33.77804217
RussianFederation9391,0.124,0.252,0.382,3.382,196,24,28,35,6,10.66666667,10.66666667,10.66666667,12.25,12.25,12.25,12.25,18.25,18.25,18.25,371.043,0.081,0,0.040008602,0.722439845,0.059562095,26.14485346,0.040008602,0.171719146,35.99573218
RussianFederation9404,0.149,0.306,0.468,3.468,5,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0,28.982,0.081,0,0.270963265,3.263435548,0.057707597,17.34954326,0.270963265,0.180120836,23.64654002
RussianFederation9405,0.182,0.378,0.584,3.584,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,21.644,0,0,0.068954331,0.726187269,0.061266331,14.9160194,0.068954331,0.176672765,20.95989349
RussianFederation9406,0.235,0.493,0.767,3.767,105,2,7,5,3,2.333333333,2.333333333,2.333333333,2,2,2,2,2.75,2.75,2.75,72.654,0.081,0,0.031557757,0.720628353,0.052103534,35.1848063,0.031557757,0.162365236,47.60496477
RussianFederation9411,0.144,0.297,0.454,3.454,121,49,39,36,26,25,25,25,28.75,28.75,28.75,28.75,36.75,36.75,36.75,447.115,0.081,0,0.30382414,7.204390526,0.055828236,36.04143299,0.30382414,0.160849611,50.06927722
RussianFederation9413,0.137,0.281,0.429,3.429,161,20,17,19,15,14.66666667,14.66666667,14.66666667,14,14,14,14,14.5,14.5,14.5,252.12,0.081,0,0.948555377,22.33607564,0.055876437,35.85618663,0.948555377,0.158243961,49.97652496
RussianFederation9414,0.122,0.248,0.376,3.376,37,10,2,1,2,1,1,1,0.5,0.5,0.5,0.5,0.75,0.75,0.75,150.219,0.081,0,5.736473551,110.131344,0.056141793,29.00414155,5.736473551,0.167037671,39.44912501
RussianFederation9415,0.395,0.843,1.323,4.323,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.253,0,0,3.381856937,74.65790263,0.053655136,34.07677658,3.381856937,0.160673279,46.62015354
RussianFederation9416,0.13,0.265,0.403,3.403,168,7,6,7,4,5.333333333,5.333333333,5.333333333,4.25,4.25,4.25,4.25,4.5,4.5,4.5,235.581,0.081,0,4.362028998,89.84138807,0.056442451,31.25594448,4.362028998,0.164541064,43.05838423
RussianFederation9412,0.216,0.452,0.7,3.7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.075,0,0,0.092177941,2.161497965,0.054395041,36.02146391,0.092177941,0.155932224,49.99269146
RussianFederation9294,0.165,0.341,0.524,3.524,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.485,0,0,0.030349139,0.720437725,0.055317603,35.88640975,0.030349139,0.118890917,55.79000099
RussianFederation9295,0.263,0.556,0.866,3.866,7,1,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,18.042,0.081,0,0.166486527,3.606855677,0.055646027,32.85703049,0.166486527,0.164078479,45.00394847
RussianFederation9343,0.142,0.292,0.446,3.446,2460,96,111,137,154,138,138,138,148.75,148.75,148.75,148.75,143.25,143.25,143.25,3711.721,0.081,0,0.128256118,2.883991386,0.052639109,35.69879942,0.128256118,0.165475323,48.18631873
RussianFederation9376,0.143,0.293,0.448,3.448,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.569,0,0,26.90460827,617.4458592,0.058837187,35.43067057,26.90460827,0.166139946,49.24432547
RussianFederation9377,0.191,0.398,0.614,3.614,42,1,2,3,1,0.333333333,0.333333333,0.333333333,1.25,1.25,1.25,1.25,0.75,0.75,0.75,117.213,0.081,0,2.717566855,61.66092056,0.053743132,35.03811559,2.717566855,0.160627708,47.88498029
RussianFederation9378,0.44,0.938,1.475,4.475,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.976,0,0,0.066844081,0.725890448,0.060210935,15.51650404,0.066844081,0.186335566,21.14609864
RussianFederation9379,0.164,0.339,0.522,3.522,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,163.091,0.081,0,1.438921625,23.141998,0.061444708,23.38021805,1.438921625,0.176697005,32.15095851
RussianFederation9385,0.194,0.405,0.627,3.627,49,6,9,16,31,5.333333333,5.333333333,5.333333333,2.75,2.75,2.75,2.75,3,3,3,145.086,0.081,0,0.206296828,2.537847286,0.059289499,17.46613609,0.206296828,0.181639305,23.88638304
RussianFederation9298,0.198,0.413,0.64,3.64,75,6,3,6,8,25,25,25,26.75,26.75,26.75,26.75,18.25,18.25,18.25,158.921,0.081,0,0.660592328,8.694548416,0.062714351,18.61946907,0.660592328,0.179741934,25.82810034
RussianFederation9299,0.221,0.463,0.719,3.719,217,24,29,36,49,91,91,91,185.5,185.5,185.5,185.5,149.75,149.75,149.75,371.839,0.081,0,0.785062284,11.57968242,0.063000353,21.02956651,0.785062284,0.177591696,28.99683351
RussianFederation9300,0.209,0.437,0.677,3.677,372,31,41,53,50,113.6666667,113.6666667,113.6666667,104.5,104.5,104.5,104.5,71,71,71,628.501,0.081,0,1.629590205,26.03603974,0.061446799,23.22762539,1.629590205,0.176805878,31.93471058
RussianFederation9301,0.147,0.303,0.464,3.464,742,54,43,50,57,70.66666667,70.66666667,70.66666667,62.25,62.25,62.25,62.25,68.5,68.5,68.5,1735.773,0.081,0,0.319803859,5.421432117,0.060838893,24.66562684,0.319803859,0.173248586,33.92850381
RussianFederation9305,0.198,0.414,0.64,3.64,213,27,29,34,35,43.33333333,43.33333333,43.33333333,62.75,62.75,62.75,62.75,54.25,54.25,54.25,376.476,0.081,0,0.544477887,4.016797531,0.063089335,10.34637362,0.544477887,0.190898688,14.14160017
RussianFederation9342,0.139,0.284,0.435,3.435,2288,199,532,147,160,126.6666667,126.6666667,126.6666667,100.25,100.25,100.25,100.25,114.5,114.5,114.5,2938.269,0.081,0,2.431582924,34.75088437,0.059946131,20.8685679,2.431582924,0.176323751,28.50201152
RussianFederation9302,0.253,0.532,0.829,3.829,270,18,31,24,22,31.66666667,31.66666667,31.66666667,31.75,31.75,31.75,31.75,34.25,34.25,34.25,325.736,0.081,0,43.351115,211.4896679,0.059059526,7.075942038,43.351115,0.191410773,9.489721786
RussianFederation9303,0.209,0.438,0.678,3.678,250,31,30,31,26,33,33,33,43.5,43.5,43.5,43.5,59,59,59,708.581,0.081,0,21.09916587,141.1832028,0.062742376,9.53094375,21.09916587,0.191557085,13.09357506
RussianFederation9349,0.279,0.589,0.919,3.919,45,8,8,4,4,5.666666667,5.666666667,5.666666667,5.25,5.25,5.25,5.25,5,5,5,90.284,0.081,0,31.47122161,306.9802362,0.059121742,14.18485589,31.47122161,0.182666496,19.05973478
RussianFederation11255,0.162,0.333,0.511,3.511,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.588,0,0,31.63344427,182.4392232,0.056778636,8.389008727,31.63344427,0.187504398,11.20958454
RussianFederation11256,0.226,0.47,0.73,3.73,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10.737,0,0,27.57660779,383.6858005,0.059729449,20.28464612,27.57660779,0.175737999,27.71693332
RussianFederation11257,0.207,0.43,0.665,3.665,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,31.999,0,0,7.508134376,100.0302586,0.059783186,19.54961516,7.508134376,0.176958176,26.69853846
RussianFederation11258,0.208,0.432,0.669,3.669,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.797,0,0,6.493780837,74.77268171,0.062937643,16.47527213,6.493780837,0.177744081,22.99596042
RussianFederation11259,0.209,0.434,0.672,3.672,59,4,5,3,5,3.666666667,3.666666667,3.666666667,7.25,7.25,7.25,7.25,16,16,16,188.826,0.198,0,2.510490263,16.11492627,0.061002572,9.101617356,2.510490263,0.184563117,12.52527848
RussianFederation11664,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.578,0,0,0.209855592,2.180342801,0.060086861,14.67197689,0.209855592,0.183766268,20.07456427
RussianFederation11665,0.1,0.2,0.3,3.3,38,1,1,1,1,0.666666667,0.666666667,0.666666667,1.75,1.75,1.75,1.75,1,1,1,206.116,0.046,0,0.281147153,2.907201306,0.059378732,14.71631659,0.281147153,0.182675841,20.10525553
RussianFederation11666,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.73,0,0,121.6395271,1220.242511,0.062198305,14.39273227,121.6395271,0.183293759,19.57955102
RussianFederation11669,0.1,0.2,0.3,3.3,6,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,5.25,5.25,5.25,343.584,0.046,0,0.417390085,3.643079569,0.059943403,12.35767658,0.417390085,0.185392425,16.85041421
RussianFederation11670,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,13.036,0,0,1.021162414,13.05321519,0.061963601,18.39146104,1.021162414,0.179761215,25.31491138
RussianFederation11671,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,34.771,0.046,0,1.180445684,7.684635023,0.063021049,9.2097805,1.180445684,0.192412028,12.71102087
RussianFederation11672,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.161,0,0,23.06717974,160.1863522,0.058860002,9.912163721,23.06717974,0.187271952,13.4302987
RussianFederation11673,0.1,0.2,0.3,3.3,324,150,96,98,119,128.6666667,128.6666667,128.6666667,143,143,143,143,303.75,303.75,303.75,854.634,0.046,0,237.7493618,1176.704697,0.0586963,7.209455014,237.7493618,0.191626997,9.655551892
RussianFederation11690,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,18.64,0.046,0,261.5300823,2266.321997,0.059755547,12.37281395,261.5300823,0.186614868,16.88347383
RussianFederation11691,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11.467,0,0,0.1762397,1.45844997,0.056022325,11.86749608,0.1762397,0.187360282,15.85907029
RussianFederation11692,0.1,0.2,0.3,3.3,66,28,6,3,1,2.333333333,2.333333333,2.333333333,1.5,1.5,1.5,1.5,2.5,2.5,2.5,55.235,0.046,0,1.604211966,12.41065806,0.060197087,11.00576792,1.604211966,0.188524045,14.96319005
RussianFederation11706,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,67.558,0,0,85.37736051,641.671943,0.057936206,10.8581838,85.37736051,0.18415324,14.69648081
RussianFederation11274,0.169,0.347,0.534,3.534,13,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,2.25,2.25,2.25,91.322,0.198,0,1.623377061,7.754658366,0.059296912,6.91158377,1.623377061,0.191829043,9.24240472
RussianFederation11275,0.372,0.782,1.225,4.225,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,18.721,0,0,2.626029534,15.41156207,0.059381113,8.406397576,2.626029534,0.187165342,11.43078917
RussianFederation11276,0.18,0.372,0.573,3.573,186,1,3,1,1,2.333333333,2.333333333,2.333333333,5.5,5.5,5.5,5.5,5.5,5.5,5.5,120.624,0.198,0,2.092837838,13.90015936,0.063371084,9.420670143,2.092837838,0.194211704,12.90976361
RussianFederation11718,0.161,0.331,0.509,3.509,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,9.198,0.134,0,2.531080853,18.27276086,0.059219273,10.27922682,2.531080853,0.189249275,13.95947866
RussianFederation11719,0.186,0.383,0.591,3.591,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.221,0,0,125.8190499,641.9429866,0.058921655,7.417679173,125.8190499,0.175652926,10.25011014
RussianFederation11720,0.264,0.549,0.855,3.855,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.757,0,0,68.26305202,327.4960781,0.058861968,6.977182033,68.26305202,0.189138168,9.392863687
RussianFederation11721,0.515,1.085,1.706,4.706,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.121,0,0,6.478616349,35.31184047,0.056605594,7.914212476,6.478616349,0.184170406,10.66496799
RussianFederation11722,0.197,0.407,0.63,3.63,54,1,1,1,1,2.333333333,2.333333333,2.333333333,2.25,2.25,2.25,2.25,0,0,0,58.39,0.134,0,79.54160859,355.7674463,0.055450502,6.643449049,79.54160859,0.193701968,8.676455852
RussianFederation11735,0.346,0.725,1.134,4.134,72,1,1,1,1,0.666666667,0.666666667,0.666666667,1.75,1.75,1.75,1.75,2,2,2,58.521,0.134,0,5.641201951,36.95528204,0.062452617,9.345441222,5.641201951,0.191954524,12.84063594
RussianFederation3346,0.1,0.2,0.3,3.3,333,85,128,151,146,163.3333333,163.3333333,163.3333333,224,224,224,224,226.25,226.25,226.25,646.202,0.797,0,13.73686485,184.8442914,0.059988342,19.44710416,13.73686485,0.174591727,26.98713699
RussianFederation3347,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,94.061,0.797,0,26.91046857,335.1181758,0.060480674,18.12734263,26.91046857,0.178746036,24.92073225
RussianFederation3348,0.353,0.738,1.155,4.155,3941,122,139,175,202,556.6666667,556.6666667,556.6666667,459,459,459,459,346.25,346.25,346.25,865.273,0.586,0,24.08707455,321.1121755,0.060361492,19.4675848,24.08707455,0.17752518,26.63675182
RussianFederation3349,0.1,0.2,0.3,3.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,82.357,0.22,0,0.082275358,1.086684043,0.065880326,19.04211131,0.082275358,0.190320938,25.96065397
RussianFederation3350,0.1,0.2,0.3,3.3,222,22,16,13,12,13.33333333,13.33333333,13.33333333,15,15,15,15,14.75,14.75,14.75,187.504,0.22,0,1.112870327,15.21965975,0.059964628,19.83991071,1.112870327,0.175200556,27.35278014
RussianFederation3351,0.1,0.2,0.3,3.3,996,131,73,58,54,69.33333333,69.33333333,69.33333333,83.5,83.5,83.5,83.5,93.25,93.25,93.25,482.469,0.22,0,0.187899995,2.892118321,0.058599397,22.67034922,0.187899995,0.171847285,31.27316785
RussianFederation3352,0.286,0.596,0.929,3.929,238,81,93,95,114,126.3333333,126.3333333,126.3333333,147.25,147.25,147.25,147.25,154.5,154.5,154.5,317.921,0.22,0,0.050511661,0.723609844,0.054718825,21.19135255,0.050511661,0.17626134,28.23152557
RussianFederation3353,0.204,0.421,0.652,3.652,814,218,234,296,154,149.6666667,149.6666667,149.6666667,188.5,188.5,188.5,188.5,202,202,202,507.127,0.185,0,5.080626146,65.25931127,0.060693547,18.69605984,5.080626146,0.176619776,25.81159609
RussianFederation3354,0.165,0.338,0.519,3.519,584,141,57,56,130,72.66666667,72.66666667,72.66666667,54,54,54,54,65.75,65.75,65.75,587.358,0.25,0,0.708022049,9.775761397,0.067210516,19.98966376,0.708022049,0.187331312,27.93300217
RussianFederation3355,0.39,0.816,1.279,4.279,90,68,18,36,27,23,23,23,24.25,24.25,24.25,24.25,30.25,30.25,30.25,114.829,0.152,0,5.704596452,87.14215467,0.059254094,22.39685588,5.704596452,0.174143797,30.86667611
RussianFederation3356,0.436,0.916,1.438,4.438,1,1,1,1,1,0.333333333,0.333333333,0.333333333,0.25,0.25,0.25,0.25,0,0,0,2.004,0,0,0.889599088,7.651969406,0.060271547,12.20063828,0.889599088,0.182655565,16.79919568
RussianFederation3357,0.288,0.601,0.937,3.937,295,53,109,329,88,87.66666667,87.66666667,87.66666667,75.5,75.5,75.5,75.5,68.25,68.25,68.25,307.253,0.152,0,0.4800687,7.589814056,0.062209508,22.67348568,0.4800687,0.168329197,32.24883662
RussianFederation3359,0.192,0.395,0.611,3.611,1526,104,90,117,66,55.66666667,55.66666667,55.66666667,51.5,51.5,51.5,51.5,42,42,42,471.526,0.152,0,0.085067444,1.444696321,0.05676093,25.3099718,0.085067444,0.170926757,34.54865894
RussianFederation3360,0.157,0.321,0.492,3.492,15,1,1,1,3,0,0,0,0.25,0.25,0.25,0.25,1.75,1.75,1.75,22.255,0.152,0,1.007320496,16.62044778,0.05876209,24.26066891,1.007320496,0.169167365,33.67067012
RussianFederation3361,0.159,0.325,0.499,3.499,1091,82,82,81,84,115.6666667,115.6666667,115.6666667,123,123,123,123,128.75,128.75,128.75,1131.316,0.17,0,0.168105753,1.457269984,0.058175816,12.30802275,0.168105753,0.186563962,16.63935473
RussianFederation2567,0.193,0.397,0.612,3.612,1859,209,180,159,464,107.6666667,107.6666667,107.6666667,126,126,126,126,216.75,216.75,216.75,910.544,0.169,0,7.709137678,50.88036867,0.060567375,9.381665419,7.709137678,0.187425329,12.83821472
RussianFederation2565,0.1,0.2,0.3,3.3,326,1,1,1,1,0,0,0,0,0,0,0,0.75,0.75,0.75,301.945,0.323,0,0.416019677,6.153662489,0.060157489,21.53455945,0.416019677,0.178277319,29.3824005
RussianFederation2566,0.1,0.2,0.3,3.3,76,1,2,2,1,1.666666667,1.666666667,1.666666667,0.25,0.25,0.25,0.25,2.75,2.75,2.75,63.237,0.169,0,0.095543376,1.447576911,0.060052368,21.92166945,0.095543376,0.176243743,29.84948836
RussianFederation3358,0.14,0.285,0.434,3.434,73,6,5,5,2,4.666666667,4.666666667,4.666666667,2.75,2.75,2.75,2.75,4,4,4,72.598,0.252,0,0.071200856,1.085064353,0.065727776,22.15244212,0.071200856,0.184251341,30.51381283
RussianFederation3362,0.139,0.282,0.43,3.43,187,18,16,17,25,18,18,18,13.25,13.25,13.25,13.25,20,20,20,358.461,0.252,0,3.962127751,58.99183182,0.050530737,23.08298819,3.962127751,0.174570079,30.11336005
RussianFederation3363,0.141,0.288,0.439,3.439,42,6,3,8,1,3.333333333,3.333333333,3.333333333,5,5,5,5,4.25,4.25,4.25,123.245,0.252,0,0.182731516,2.535142416,0.06122111,19.88413933,0.182731516,0.179059867,27.0095763
RussianFederation4978,0.137,0.28,0.427,3.427,21,1,1,2,1,2.333333333,2.333333333,2.333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,63.303,0.252,0,1.204949359,28.10203281,0.05599811,35.51245968,1.204949359,0.156615107,49.49134793
