"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Algeria896",0.025516,0.054877,0.093607,0.13875,0.18633,0.23761,0.28802,0.33698,0.38563,0.43274,0.47985,0.52722,0.5729,0.6176,0.66185,0.70816,0.75948,0.80767,0.85663,0.90186
"Algeria897",0.025516,0.054877,0.093607,0.13875,0.18633,0.23761,0.28802,0.33698,0.38563,0.43274,0.47985,0.52722,0.5729,0.6176,0.66185,0.70816,0.75948,0.80767,0.85663,0.90186
"Algeria898",0.025516,0.054877,0.093607,0.13875,0.18633,0.23761,0.28802,0.33698,0.38563,0.43274,0.47985,0.52722,0.5729,0.6176,0.66185,0.70816,0.75948,0.80767,0.85663,0.90186
"Algeria899",0.025516,0.054877,0.093607,0.13875,0.18633,0.23761,0.28802,0.33698,0.38563,0.43274,0.47985,0.52722,0.5729,0.6176,0.66185,0.70816,0.75948,0.80767,0.85663,0.90186
"Algeria900",0.025516,0.054877,0.093607,0.13875,0.18633,0.23761,0.28802,0.33698,0.38563,0.43274,0.47985,0.52722,0.5729,0.6176,0.66185,0.70816,0.75948,0.80767,0.85663,0.90186
"Algeria901",0.025516,0.054877,0.093607,0.13875,0.18633,0.23761,0.28802,0.33698,0.38563,0.43274,0.47985,0.52722,0.5729,0.6176,0.66185,0.70816,0.75948,0.80767,0.85663,0.90186
"Algeria902",0.025516,0.054877,0.093607,0.13875,0.18633,0.23761,0.28802,0.33698,0.38563,0.43274,0.47985,0.52722,0.5729,0.6176,0.66185,0.70816,0.75948,0.80767,0.85663,0.90186
"Angola1206",0.051268,0.10828,0.17203,0.24152,0.31633,0.39395,0.47368,0.5529,0.63044,0.70961,0.78878,0.86707,0.9433,1.0186,1.0948,1.173,1.2512,1.3268,1.4038,1.4837
"Angola1207",0.051268,0.10828,0.17203,0.24152,0.31633,0.39395,0.47368,0.5529,0.63044,0.70961,0.78878,0.86707,0.9433,1.0186,1.0948,1.173,1.2512,1.3268,1.4038,1.4837
"Angola1208",0.051268,0.10828,0.17203,0.24152,0.31633,0.39395,0.47368,0.5529,0.63044,0.70961,0.78878,0.86707,0.9433,1.0186,1.0948,1.173,1.2512,1.3268,1.4038,1.4837
"Angola1211",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1212",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1213",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1214",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1215",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1216",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1217",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1218",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1219",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
