"country","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"BGD",555.732162904,884.769879262,1457.220776677,2370.897598706,3794.005995631,5673.513996286,7889.233249724,10124.568904685,12467.330909082,14588.123936782,16122.370324215,17817.974812769,19691.907582076,21762.923581144,24051.750234183,26581.294887638,29376.874074611,32466.46689123,35880.995020853,39654.632208664
"BGR",4394.230979017,6635.637907164,9671.457871226,13465.040258646,17844.665461567,22120.456555385,26534.230255986,31041.756623756,35417.293649884,39756.820918661,43938.082274446,48559.090725733,53666.094878277,59310.20734616,65547.916304013,72441.650839651,80060.405765373,88480.432141226,97786.000421249,108070.24386
"BHR",14062.534305677,15063.301911843,16738.070492955,19200.786936655,22845.039736185,28403.341693764,34183.227123996,39740.123543404,44744.432644313,50889.440902364,56241.530122422,62156.503479377,68693.560014675,75918.124787303,83902.503669765,92726.60700956,102478.7494,113256.53356,125167.82717,138331.84247
"BHS",22066.769755171,25313.195246335,28458.825507332,33129.691600448,39415.517493143,47504.896306315,55056.280019533,62615.030953741,69315.297045278,76309.740877373,84051.715013113,92579.14802775,101971.72834,112317.22911,123712.32852,136263.51316,150088.0732,165315.19843,182087.18554,200560.76787
"BIH",3372.829211249,5146.875808933,7625.74951357,10992.938304008,15430.48236418,20836.204980856,26295.142085326,32272.541609228,38701.730241002,45149.966591557,49898.430029075,55146.293725767,60946.080065375,67355.835258962,74439.710290899,82268.602963479,90920.867465949,100483.09857,111050.9983,122730.33374
"BLZ",4039.512243261,4489.032541099,5181.054131801,6869.409162398,10358.522560557,13226.119584866,15695.783796502,18136.764567198,20306.433564767,22927.990119439,25339.34788993,28004.310370952,30949.549402741,34204.541927455,37801.865004322,41777.521851798,46171.302179877,51027.180418883,56393.755830349,62324.73890476
"BMU",81545.820391812,102545.93583,124109.26776,152879.71028,189895.79664,233580.68201,270674.41899,305353.86208,335229.29159,366843.30956,401638.1489,439733.25518,481441.65649,527106.07139,577101.7251,631839.4327,691768.97477,757382.79329,829220.03805,907870.9968
"BRA",5655.24571263,7390.194986707,9949.041316651,14468.528504035,21569.547680564,31261.685023943,43827.758978597,56324.482292032,65726.175227903,76421.809341792,84459.161191271,93341.808713656,103158.65243,114007.94261,125998.26261,139249.61556,153894.62547,170079.86452,187967.32002,207736.01563
"BRB",13836.940963997,17354.234414245,21025.085355787,26130.486980146,33157.736431113,42301.642497392,51254.668226006,60310.821486875,68502.712270088,76736.411438889,84806.850279748,93726.064582773,103583.32084,114477.27379,126516.95378,139822.85796,154528.1563,170780.02436,188741.11631,208591.1928
"CAN",35391.203709625,41065.466444052,47143.303058873,52056.737136594,57409.450292167,63210.231940652,69417.694704324,75909.055892879,82627.100274447,90545.666312982,99272.40343749,108840.21826,119330.17335,130831.14404,143440.57139,157265.28781,172422.42212,189040.39196,207259.9918,227235.58575
"CHL",8103.756349691,10052.942649573,12821.598321977,16811.389516851,22553.448900381,27975.349798129,33417.732675523,39223.275526455,45036.340847828,51453.626848417,56865.052022387,62845.601750001,69455.131383065,76759.791315687,84832.689039653,93754.620828779,103614.88038,114512.15247,126555.50068,139865.45887
"CHN",2910.180031133,5304.781204145,8445.584239368,12797.043172588,18065.000122434,24729.301351934,32437.674229676,40438.512316926,47554.137926694,54957.811703848,60737.77521617,67125.622797527,74185.286173542,81987.420828118,90610.113147266,100139.66193,110671.44212,122310.85929,135174.40465,149390.82089
"CIV",923.979619598,1212.353388001,1622.5527241,2232.800336764,3156.607327184,4590.049424291,6864.883844258,9556.448287353,12318.996015939,14643.752915675,15781.824175762,17008.34313095,18330.183687158,19754.753970923,21290.037847525,22944.639665785,24727.832480294,26649.610021346,28720.742703826,30952.837988948
"CMR",974.883561914,1290.467427941,1759.585736313,2450.823696433,3496.284824095,5110.765515421,7644.482378931,10610.185357237,13621.281639554,16118.899049345,17293.404845937,18553.491168966,19905.393855264,21355.803116771,22911.896648639,24581.375149768,26372.50043154,28294.136303361,30355.792437327,32567.671429103
"COD",143.016956426,180.677137566,236.246612996,319.946394812,447.183019835,644.042613078,954.939715721,1320.81375864,1696.567024499,2014.673677189,2169.032869656,2335.218672342,2514.137210157,2706.764033004,2914.14943495,3137.42418093,3377.805672225,3636.604584316,3915.23201332,4215.207169962
"COG",1945.84446551,2561.342071588,3383.496093576,4556.265559964,6292.631099758,8910.127811396,12902.125995311,17364.402185845,21683.665423794,25051.662005115,26240.259173691,27485.250334365,28789.31114751,30155.244222457,31585.985140693,33084.608764836,34654.335846948,36298.539950379,38020.754700029,39824.681376605
"COL",3956.662769939,4717.208312362,5818.742486938,8153.933092919,12915.006073465,17189.104573655,21046.823770474,24813.690550909,28060.531651387,31830.437516452,35178.073852806,38877.784176039,42966.59643058,47485.43282377,52479.519389065,57998.838623382,64098.629728724,70839.941464685,78290.243144951,86524.099892871
"COM",565.586193495,725.267172373,950.317399767,1259.528187237,1720.791396589,2380.640005278,3366.973425404,4440.044013793,5442.160076862,6177.963706389,6358.389434293,6544.08444587,6735.202629098,6931.90236621,7134.34666495,7342.703293658,7557.144920301,7777.849255568,8004.999200138,8238.782996255
"CPV",2722.209396405,4039.820296787,6089.640813386,9440.488203917,15038.088090303,24581.639387464,41215.777489983,64186.19646012,91474.067660629,117677.6599,130053.92743,143731.81838,158848.22567,175554.4394,194017.66096,214422.67649,236973.70623,261896.44848,289440.3384,319881.04452
"CRI",5314.585908737,6311.29364859,7854.382523425,11165.486196773,17967.769001741,24427.833552193,30668.748910067,37178.28933218,43148.236252883,49836.398097541,55077.737839043,60870.314093105,67272.10090983,74347.169523394,82166.329598495,90807.837917275,100358.1816,110912.94369,122577.75981,135469.37534
"CUB",5765.354709863,7807.105387013,10673.456234314,16438.647496996,28555.689523067,41692.145967504,55203.251007707,68683.558390237,80653.721154733,93380.63775077,103201.56515,114055.36851,126050.67632,139307.54168,153958.64373,170150.61564,188045.5121,207822.43124,229679.30713,253834.89073
