"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Algeria900",0.023694,0.05549,0.098589,0.15116,0.21473,0.28204,0.35484,0.43716,0.52133,0.602975,0.68462,0.7774,0.87137,0.96585,1.0628,1.161,1.2571,1.3541,1.4533,1.5489
"Algeria901",0.023694,0.05549,0.098589,0.15116,0.21473,0.28204,0.35484,0.43716,0.52133,0.602975,0.68462,0.7774,0.87137,0.96585,1.0628,1.161,1.2571,1.3541,1.4533,1.5489
"Algeria902",0.023694,0.05549,0.098589,0.15116,0.21473,0.28204,0.35484,0.43716,0.52133,0.602975,0.68462,0.7774,0.87137,0.96585,1.0628,1.161,1.2571,1.3541,1.4533,1.5489
"Angola1206",0.05122,0.10998,0.17863,0.25815,0.34743,0.4481,0.55805,0.67246,0.79304,0.89972,1.0064,1.132,1.2567,1.3865,1.5168,1.6448,1.7813,1.9136,2.0464,2.1798
"Angola1207",0.05122,0.10998,0.17863,0.25815,0.34743,0.4481,0.55805,0.67246,0.79304,0.89972,1.0064,1.132,1.2567,1.3865,1.5168,1.6448,1.7813,1.9136,2.0464,2.1798
"Angola1208",0.05122,0.10998,0.17863,0.25815,0.34743,0.4481,0.55805,0.67246,0.79304,0.89972,1.0064,1.132,1.2567,1.3865,1.5168,1.6448,1.7813,1.9136,2.0464,2.1798
"Angola1211",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1212",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1213",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1214",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1215",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
